mean_mean_rssi,mean_distance
-61.0,25.5
-60.0,28.0
-59.0,22.75
-58.0,24.0
-57.0,16.0
-56.0,23.0
-55.0,15.75
-54.0,13.0
-53.0,11.333333333333334
-52.0,10.666666666666666
-51.0,2.3333333333333335
-50.0,6.0
-48.0,3.0
-46.0,2.0
