tx_coord,receiver_0,receiver_1,receiver_2,receiver_3,receiver_4,receiver_5,receiver_6,receiver_7,receiver_8,class_label,best_tile_localization,best_Localization_value
"(17, 58)",,-61.0,-60.0,-62.0,,,-61.0,-49.0,-74.0,2948,"(10, 92)",-19.15371658888386
"(17, 58)",-72.0,-57.0,,-67.0,-73.0,,-52.0,-66.0,,2948,"(10, 50)",-19.597189897057426
"(17, 58)",-72.0,-60.0,-62.0,-57.0,-81.0,-71.0,,-53.0,-71.0,2948,"(10, 92)",-19.74827903211965
"(17, 58)",-60.0,-60.0,-67.0,-71.0,-65.0,-63.0,-45.0,-66.0,,2948,"(10, 50)",-17.398159414828143
"(17, 58)",,,-60.0,-74.0,,-66.0,-51.0,,,2948,"(10, 68)",-23.149051118562628
"(17, 58)",-71.0,-66.0,,,-81.0,,-58.0,-53.0,,2948,"(10, 46)",-22.71397663513034
"(17, 58)",,,,-69.0,-75.0,,-58.0,-64.0,,2948,"(6, 73)",-23.171791503272278
"(17, 58)",-64.0,-56.0,-59.0,-72.0,-80.0,,-47.0,-64.0,,2948,"(13, 66)",-19.216377011612476
"(17, 58)",-69.0,-54.0,,,-68.0,-72.0,-41.0,,-79.0,2948,"(10, 50)",-24.067571846371344
"(17, 58)",,-53.0,-62.0,-73.0,,,-47.0,-61.0,-74.0,2948,"(10, 68)",-19.025841167979983
"(17, 58)",-76.0,-55.0,-59.0,,-82.0,-77.0,-42.0,,-69.0,2948,"(10, 50)",-26.42669862174885
"(17, 58)",,,,-77.0,-78.0,,-42.0,-71.0,-77.0,2948,"(6, 68)",-33.45511515824542
"(17, 58)",-70.0,-65.0,,-75.0,,-78.0,-41.0,-56.0,,2948,"(10, 50)",-23.511457264138066
"(17, 58)",-71.0,-63.0,-54.0,-60.0,-81.0,-71.0,-52.0,-52.0,-75.0,2948,"(10, 68)",-19.22745741340648
"(17, 58)",-64.0,,-52.0,-70.0,,-75.0,-54.0,-54.0,-70.0,2948,"(8, 87)",-18.75311300640219
"(17, 58)",,-63.0,-63.0,-71.0,-85.0,-73.0,-49.0,-61.0,-75.0,2948,"(10, 68)",-26.78768652582256
"(17, 58)",-63.0,-48.0,,-80.0,-68.0,-67.0,-47.0,-56.0,-77.0,2948,"(14, 32)",-18.294981049709122
"(17, 58)",,-57.0,-70.0,,-77.0,-70.0,-55.0,-56.0,-79.0,2948,"(10, 50)",-23.952683205030635
"(17, 58)",-64.0,-57.0,-67.0,-77.0,-72.0,-77.0,-47.0,-65.0,-82.0,2948,"(10, 50)",-25.725756170253355
"(17, 58)",-72.0,-58.0,-56.0,,,,-40.0,-63.0,,2948,"(13, 66)",-16.407899609292365
"(17, 58)",,-49.0,-57.0,,-69.0,,-45.0,-62.0,,2948,"(13, 66)",-11.20360348571646
"(17, 58)",,,-61.0,-69.0,,,-49.0,-62.0,-78.0,2948,"(10, 68)",-24.485218169198703
"(17, 58)",-63.0,-53.0,-68.0,-76.0,-80.0,-69.0,-46.0,-61.0,-80.0,2948,"(10, 50)",-23.657464505138947
"(17, 58)",,,-67.0,-73.0,-67.0,,-57.0,-57.0,-76.0,2948,"(6, 90)",-24.437751461197102
"(17, 58)",-75.0,-68.0,,,-86.0,,-45.0,,-72.0,2948,"(10, 50)",-33.529985039355786
"(17, 58)",,-55.0,-54.0,-70.0,,-71.0,-51.0,-57.0,,2948,"(10, 69)",-15.113454499411155
"(17, 58)",-68.0,-61.0,-58.0,-66.0,-86.0,,-51.0,-61.0,-75.0,2948,"(10, 68)",-22.36325723255178
"(17, 58)",-55.0,-49.0,-58.0,-75.0,-72.0,,-49.0,-63.0,-77.0,2948,"(13, 66)",-15.69090981469125
"(17, 58)",-71.0,-59.0,,,,-72.0,-42.0,-60.0,-77.0,2948,"(10, 50)",-22.64661343190639
"(17, 58)",-72.0,,-54.0,-75.0,,-69.0,-56.0,-63.0,-74.0,2948,"(9, 78)",-24.28772268895314
"(17, 58)",,-55.0,,-78.0,-75.0,-64.0,-44.0,-61.0,-70.0,2948,"(10, 50)",-20.39142122310133
"(17, 58)",,-65.0,-58.0,,,,-55.0,,-76.0,2948,"(10, 68)",-23.479565605168418
"(17, 58)",-60.0,-56.0,-59.0,-75.0,-64.0,-67.0,-58.0,-65.0,-81.0,2948,"(11, 45)",-19.448480709604432
"(17, 58)",-60.0,-53.0,,,-73.0,-60.0,-53.0,,-78.0,2948,"(12, 30)",-22.173624909674473
"(17, 58)",-66.0,-62.0,-57.0,,-80.0,,-39.0,,-74.0,2948,"(13, 52)",-22.697406422767642
"(17, 58)",-67.0,-54.0,-60.0,,-67.0,-70.0,-46.0,-65.0,-76.0,2948,"(10, 50)",-19.49227165931558
"(17, 58)",-66.0,-57.0,-66.0,-79.0,-67.0,-65.0,-53.0,-65.0,-75.0,2948,"(10, 50)",-21.54545459489682
"(17, 58)",,-65.0,-61.0,-61.0,-72.0,,-51.0,-56.0,-76.0,2948,"(10, 68)",-18.519666478655843
"(17, 58)",-74.0,-54.0,-56.0,-76.0,-74.0,,-39.0,-58.0,-72.0,2948,"(10, 68)",-19.917995677565035
"(17, 58)",-61.0,,-68.0,-73.0,-71.0,,-56.0,,-77.0,2948,"(10, 68)",-23.49332455953517
"(17, 58)",,-61.0,-62.0,-70.0,,,-56.0,,-81.0,2948,"(10, 68)",-24.715028442072118
"(17, 58)",-63.0,-57.0,-63.0,,-75.0,-73.0,-45.0,-61.0,-79.0,2948,"(10, 50)",-22.190985322876973
"(17, 58)",-64.0,-56.0,,-70.0,-82.0,-74.0,,-52.0,,2948,"(14, 32)",-21.426260641114656
"(17, 58)",,,-51.0,-70.0,-77.0,,-54.0,,-74.0,2948,"(11, 76)",-25.040239241352907
"(17, 58)",-52.0,-47.0,,-74.0,-70.0,-69.0,,,,2948,"(16, 14)",-25.24841666795343
"(17, 58)",,-58.0,-61.0,,-81.0,-68.0,-52.0,-60.0,-75.0,2948,"(10, 68)",-22.726434665008572
"(17, 58)",,,-56.0,-68.0,,,-56.0,,-72.0,2948,"(10, 90)",-22.546944872339793
"(17, 58)",-63.0,-64.0,,,-65.0,,-53.0,,,2948,"(13, 15)",-20.850861195946678
"(17, 58)",-68.0,-59.0,-71.0,,-65.0,-66.0,-48.0,,-73.0,2948,"(10, 50)",-21.973704369870134
"(17, 58)",-54.0,-48.0,-58.0,,-74.0,,-57.0,-67.0,-83.0,2948,"(14, 32)",-18.337233420826887
"(17, 58)",-64.0,-56.0,-50.0,,-77.0,-74.0,-49.0,-57.0,-69.0,2948,"(13, 66)",-16.524228179530674
"(17, 58)",-65.0,,,-76.0,,-68.0,-46.0,,,2948,"(10, 50)",-23.978829610770003
"(17, 58)",,,-54.0,-77.0,,-69.0,-63.0,-57.0,-75.0,2948,"(10, 90)",-26.953927208580218
"(17, 58)",,,-62.0,-78.0,-76.0,-69.0,-41.0,-68.0,-74.0,2948,"(10, 68)",-28.403775866620155
"(17, 58)",,-59.0,-69.0,-79.0,,-64.0,,-86.0,-72.0,2948,"(12, 70)",-28.949649293769852
"(17, 58)",-65.0,-52.0,,-78.0,-65.0,-72.0,-49.0,-67.0,,2948,"(14, 32)",-20.8453589042434
"(17, 58)",,,-58.0,-64.0,,-66.0,-56.0,-57.0,-75.0,2948,"(9, 90)",-20.27616202489992
"(17, 58)",-58.0,-61.0,-68.0,-79.0,-68.0,-64.0,,-64.0,-79.0,2948,"(12, 31)",-22.818024448824232
"(17, 58)",,,-62.0,,,,,-67.0,,2948,"(10, 90)",-32.16533006770364
"(17, 58)",-55.0,-54.0,-60.0,,,-72.0,-50.0,-68.0,,2948,"(10, 50)",-15.2762280561851
"(17, 58)",-62.0,-49.0,-70.0,-74.0,-68.0,-62.0,-52.0,,-80.0,2948,"(13, 31)",-21.885434100949247
"(17, 58)",-62.0,-60.0,-63.0,,-69.0,-63.0,-41.0,-72.0,-74.0,2948,"(10, 50)",-20.373046968787946
"(17, 58)",,,-65.0,,-62.0,-64.0,-49.0,,-72.0,2948,"(9, 50)",-19.014631062038653
"(17, 58)",-64.0,-55.0,-53.0,-73.0,-78.0,,-52.0,-49.0,-76.0,2948,"(11, 75)",-16.57247438586286
"(17, 58)",,-50.0,,,,,-59.0,,-77.0,2948,"(17, 33)",-20.870875821378597
"(17, 58)",,,-64.0,,,-77.0,-55.0,,,2948,"(13, 66)",-32.144982913679016
"(17, 58)",-73.0,,-63.0,-57.0,-81.0,,-51.0,-52.0,-72.0,2948,"(8, 91)",-20.668379621774616
"(17, 58)",,-69.0,-60.0,-73.0,-81.0,-80.0,-43.0,-57.0,-69.0,2948,"(10, 68)",-26.466971476312285
"(17, 58)",-61.0,-52.0,-63.0,,,-76.0,-50.0,-62.0,-78.0,2948,"(13, 52)",-19.364785328889358
"(17, 58)",,,-55.0,-69.0,-80.0,,-56.0,,-77.0,2948,"(11, 76)",-27.89871659353852
"(17, 58)",-60.0,-51.0,,,-69.0,,-50.0,-65.0,-73.0,2948,"(13, 32)",-15.153324489040926
"(17, 58)",,-48.0,-61.0,,-73.0,-68.0,-48.0,-68.0,-80.0,2948,"(10, 50)",-21.58058046370371
"(17, 58)",-67.0,-51.0,-65.0,-69.0,-69.0,-75.0,-51.0,-55.0,,2948,"(10, 50)",-17.050417081351185
"(17, 58)",-71.0,,-63.0,,-74.0,,-47.0,-58.0,-75.0,2948,"(10, 68)",-23.330429345894622
"(17, 58)",-64.0,-56.0,,,-69.0,-63.0,-48.0,,,2948,"(14, 14)",-20.122060635227527
"(17, 58)",-69.0,-64.0,-51.0,,-78.0,-67.0,-53.0,-61.0,-77.0,2948,"(10, 50)",-21.396802375504016
"(17, 58)",-71.0,-59.0,-62.0,,-83.0,-72.0,-56.0,-53.0,-75.0,2948,"(10, 50)",-23.027441059167096
"(17, 58)",-73.0,-62.0,-53.0,,-84.0,-72.0,-61.0,,,2948,"(13, 36)",-27.463557663967077
"(17, 58)",,-58.0,-63.0,,-75.0,-73.0,-41.0,-69.0,-73.0,2948,"(11, 51)",-24.40890715541231
"(17, 58)",-71.0,-65.0,,-60.0,-82.0,,-53.0,-57.0,,2948,"(10, 50)",-18.92289072710484
"(17, 58)",-64.0,-58.0,,-69.0,-80.0,,-48.0,-58.0,-72.0,2948,"(11, 51)",-18.17403581277343
"(17, 58)",,,-68.0,,-81.0,-73.0,-49.0,,-77.0,2948,"(11, 67)",-34.06782475999942
"(17, 58)",-62.0,-51.0,-65.0,-71.0,-65.0,-62.0,-40.0,-59.0,-76.0,2948,"(10, 50)",-15.528756751938106
"(17, 58)",-62.0,-58.0,-49.0,-71.0,-83.0,-71.0,-55.0,-57.0,-74.0,2948,"(12, 75)",-19.708503087579757
"(17, 58)",,-59.0,-55.0,-62.0,,,-59.0,-52.0,-69.0,2948,"(10, 91)",-15.577181913183454
"(17, 58)",-62.0,-55.0,-66.0,,-70.0,-64.0,-47.0,-66.0,,2948,"(10, 50)",-18.017372822144537
"(17, 58)",-64.0,-62.0,,-70.0,-77.0,-65.0,-58.0,,,2948,"(11, 30)",-24.26219267630638
"(17, 58)",,-50.0,-61.0,,,,-54.0,,,2948,"(14, 53)",-12.560177907144984
"(17, 58)",,-55.0,-68.0,-80.0,-64.0,-63.0,-51.0,-64.0,-82.0,2948,"(10, 50)",-22.83732426429365
"(17, 58)",-76.0,-65.0,-48.0,-72.0,-77.0,-74.0,-54.0,-66.0,-66.0,2948,"(12, 75)",-23.69026840544876
"(17, 58)",-55.0,-53.0,-58.0,,,-71.0,-44.0,-69.0,-80.0,2948,"(10, 50)",-18.013654855230058
"(17, 58)",-71.0,-57.0,-64.0,,-85.0,-74.0,-42.0,,-74.0,2948,"(10, 50)",-28.44396678460529
"(17, 58)",-53.0,,-57.0,,,-65.0,-49.0,,-75.0,2948,"(12, 51)",-14.012022124075878
"(17, 58)",,,-49.0,-69.0,,-76.0,-56.0,,-70.0,2948,"(10, 77)",-24.35149297583515
"(17, 58)",-66.0,-70.0,-68.0,,-76.0,-69.0,-50.0,-72.0,-80.0,2948,"(10, 50)",-29.03736472667423
"(17, 58)",,-51.0,,,,,-50.0,,-82.0,2948,"(10, 50)",-21.807835297899658
"(17, 58)",-57.0,-50.0,-58.0,,-72.0,-64.0,-54.0,-62.0,-75.0,2948,"(14, 32)",-15.827386601176073
"(17, 58)",,-56.0,-55.0,,-76.0,-74.0,-64.0,-60.0,-73.0,2948,"(12, 75)",-22.043716733705306
"(17, 58)",,,-69.0,,,,-40.0,,-72.0,2948,"(10, 68)",-29.847911339355925
"(17, 58)",-62.0,-58.0,-55.0,-69.0,-75.0,,-48.0,-59.0,-73.0,2948,"(10, 68)",-16.527621697891938
"(17, 58)",-64.0,-52.0,-63.0,,,-66.0,-49.0,-59.0,-74.0,2948,"(10, 50)",-15.660174415604828
"(17, 58)",,-61.0,-58.0,-75.0,,,-50.0,-64.0,-67.0,2948,"(10, 68)",-19.88035742941218
"(17, 58)",-60.0,-60.0,-60.0,-72.0,-70.0,-71.0,-54.0,-60.0,-78.0,2948,"(11, 51)",-19.399326109120004
"(17, 58)",-72.0,,,-64.0,-77.0,,-58.0,-51.0,,2948,"(6, 90)",-18.741048706990426
"(17, 58)",-70.0,-65.0,-61.0,-62.0,-83.0,,-53.0,-56.0,-67.0,2948,"(10, 68)",-19.49994297469181
"(17, 58)",-57.0,-50.0,,,-70.0,-72.0,-60.0,,,2948,"(16, 14)",-25.653184701300496
"(17, 58)",-67.0,-65.0,-59.0,,-79.0,,-58.0,-60.0,-80.0,2948,"(10, 68)",-23.760490324602117
"(17, 58)",,,-68.0,-69.0,-80.0,-74.0,-46.0,-61.0,-76.0,2948,"(10, 68)",-28.406845407840137
"(17, 58)",,,,-79.0,,-63.0,,-59.0,,2948,"(9, 91)",-24.017075060628787
"(17, 58)",-73.0,-59.0,-66.0,-71.0,-77.0,-68.0,-49.0,-63.0,-84.0,2948,"(10, 50)",-25.828296233871008
"(17, 58)",-66.0,-50.0,-55.0,-80.0,-69.0,-70.0,-41.0,,-72.0,2948,"(10, 50)",-19.55040219999184
"(17, 58)",-68.0,-67.0,-52.0,-73.0,,,-55.0,,-70.0,2948,"(14, 74)",-20.33693741754894
"(17, 58)",,,-55.0,-68.0,,,-60.0,-58.0,,2948,"(10, 90)",-21.128627821060622
"(17, 58)",-72.0,-63.0,-54.0,-65.0,-81.0,-73.0,-65.0,,-77.0,2948,"(14, 74)",-25.507822659329516
"(17, 58)",-63.0,-54.0,-64.0,-69.0,-65.0,-70.0,-46.0,-58.0,-72.0,2948,"(10, 50)",-15.942129625249102
"(17, 58)",,,,-76.0,,,-45.0,,-77.0,2948,"(10, 68)",-33.438670075117656
"(17, 58)",,,-68.0,,-65.0,,-48.0,-61.0,-87.0,2948,"(10, 68)",-27.68146572096731
"(17, 58)",-65.0,-52.0,-62.0,,-67.0,-67.0,-50.0,-61.0,-73.0,2948,"(10, 50)",-16.638024283084995
"(17, 58)",,-61.0,-65.0,,-73.0,,-60.0,,-79.0,2948,"(13, 52)",-25.989750573516517
"(17, 58)",-70.0,-66.0,-48.0,-71.0,-77.0,-75.0,-54.0,-68.0,-71.0,2948,"(12, 75)",-23.9153020082348
"(17, 58)",-72.0,,,,,,-67.0,,,2948,"(10, 42)",-30.65319825271998
"(17, 58)",-57.0,-63.0,-62.0,,-72.0,-70.0,-47.0,,-81.0,2948,"(10, 50)",-22.983446927857585
"(17, 58)",-65.0,-58.0,-60.0,-76.0,-77.0,-77.0,-48.0,-68.0,,2948,"(10, 50)",-24.314098660524298
"(17, 58)",-71.0,,-64.0,,-66.0,-61.0,-54.0,-60.0,-77.0,2948,"(10, 68)",-19.956865478211274
"(17, 58)",-59.0,-54.0,-69.0,,-66.0,,-44.0,,,2948,"(10, 50)",-14.9774516476938
"(17, 58)",-66.0,-50.0,-67.0,,,-64.0,-49.0,-60.0,-76.0,2948,"(10, 50)",-17.174658866005398
"(17, 58)",-71.0,-59.0,-62.0,-70.0,-75.0,-74.0,-51.0,-61.0,-82.0,2948,"(11, 67)",-24.311247648607285
"(17, 58)",,,,,-79.0,-78.0,-40.0,-54.0,-70.0,2948,"(4, 68)",-25.69334713910912
"(17, 58)",,-53.0,-61.0,-79.0,-66.0,-68.0,-50.0,-63.0,-77.0,2948,"(10, 68)",-20.864747358933
"(17, 58)",-54.0,-58.0,,,-69.0,-65.0,-50.0,-59.0,-75.0,2948,"(12, 31)",-16.007001111837656
"(17, 58)",-63.0,-59.0,,,-70.0,,-39.0,-60.0,-65.0,2948,"(10, 50)",-13.570526107479594
"(17, 58)",,-62.0,,,,-74.0,,,,2948,"(19, 27)",-39.84556531720944
"(17, 58)",-71.0,-64.0,-62.0,-56.0,-78.0,-78.0,-61.0,-50.0,-73.0,2948,"(6, 90)",-21.0684739227314
"(17, 58)",-62.0,-66.0,-58.0,,,-68.0,,-56.0,-66.0,2948,"(7, 84)",-15.319444270432527
"(17, 58)",,-55.0,-66.0,,-71.0,,-51.0,-62.0,-75.0,2948,"(10, 68)",-20.1145735542732
"(17, 58)",-60.0,-52.0,-65.0,,-80.0,,-44.0,,-75.0,2948,"(10, 50)",-20.581819243706747
"(17, 58)",-68.0,,,,-76.0,-74.0,-49.0,-60.0,,2948,"(8, 50)",-24.94983137526519
"(17, 58)",,,-63.0,-78.0,-73.0,,-47.0,-61.0,-78.0,2948,"(10, 68)",-27.83749220567047
"(17, 58)",-74.0,-66.0,-47.0,,-77.0,-78.0,-56.0,-67.0,-70.0,2948,"(14, 74)",-25.431642570520882
"(17, 58)",-65.0,-63.0,-69.0,-76.0,-77.0,-75.0,-45.0,-68.0,-83.0,2948,"(10, 50)",-28.729860148677336
"(17, 58)",,,-62.0,-82.0,-73.0,,,-61.0,-73.0,2948,"(12, 95)",-32.000723068988535
"(17, 58)",,-50.0,-62.0,-70.0,-72.0,-65.0,-42.0,,-74.0,2948,"(10, 50)",-18.722164411713887
"(17, 58)",-65.0,-58.0,,,-77.0,,-46.0,,,2948,"(10, 50)",-22.164147009713115
"(17, 58)",,-55.0,-61.0,-77.0,-74.0,-70.0,-50.0,-66.0,-86.0,2948,"(10, 68)",-26.278863001002644
"(17, 58)",-77.0,,,-57.0,-84.0,-69.0,,-55.0,-79.0,2948,"(13, 103)",-27.13033998005637
"(17, 58)",-63.0,-63.0,-66.0,-71.0,-63.0,-70.0,-44.0,-63.0,-79.0,2948,"(10, 50)",-20.692387918940813
"(17, 58)",,,-68.0,-77.0,-71.0,-66.0,-58.0,-66.0,-80.0,2948,"(10, 68)",-28.208784122565437
"(17, 58)",-74.0,-57.0,-62.0,-65.0,-75.0,,,-67.0,-74.0,2948,"(9, 89)",-22.112609652625498
"(17, 58)",-72.0,-58.0,-67.0,-77.0,-72.0,-64.0,-62.0,-65.0,-85.0,2948,"(14, 32)",-26.318592546732287
"(17, 58)",-63.0,-56.0,-63.0,-75.0,-75.0,-67.0,-58.0,-63.0,-85.0,2948,"(11, 49)",-23.18266899780107
"(17, 58)",,-67.0,-63.0,-75.0,,-80.0,-45.0,-56.0,-72.0,2948,"(10, 68)",-25.639678703898642
"(17, 58)",-61.0,-54.0,-62.0,,-73.0,-74.0,-44.0,-68.0,-71.0,2948,"(10, 50)",-20.17085327919863
"(17, 58)",-67.0,-60.0,-56.0,-61.0,-88.0,,-53.0,-49.0,-75.0,2948,"(8, 91)",-18.894753641194193
"(17, 58)",,-59.0,-70.0,-75.0,-64.0,-74.0,-51.0,-69.0,-81.0,2948,"(11, 67)",-26.055550156200137
"(17, 58)",-64.0,-59.0,-61.0,,,-64.0,-60.0,-69.0,-88.0,2948,"(11, 47)",-23.79616020544805
"(17, 58)",-54.0,-52.0,-54.0,-79.0,-66.0,,-52.0,,-80.0,2948,"(12, 51)",-16.025047675732043
"(17, 58)",-65.0,-62.0,-68.0,,-69.0,-72.0,-59.0,-62.0,,2948,"(12, 36)",-22.412007720224306
"(17, 58)",,,-58.0,-60.0,,,-54.0,,-74.0,2948,"(12, 92)",-19.60751267156238
"(17, 58)",,-56.0,-65.0,-74.0,-70.0,-68.0,-49.0,,-74.0,2948,"(10, 50)",-22.359502364640985
"(17, 58)",,-55.0,-62.0,,-76.0,-71.0,,,-76.0,2948,"(14, 32)",-27.481437783937107
"(17, 58)",-71.0,,-61.0,-63.0,-72.0,,-51.0,-62.0,-77.0,2948,"(10, 68)",-21.52922264451577
"(17, 58)",-74.0,-63.0,,-75.0,-75.0,,-48.0,,,2948,"(10, 50)",-27.81033620856352
"(17, 58)",-75.0,-57.0,-55.0,-80.0,-78.0,-74.0,-42.0,-63.0,-73.0,2948,"(10, 68)",-25.047149842770168
"(17, 58)",-62.0,-52.0,-64.0,,-72.0,-74.0,-41.0,-68.0,-71.0,2948,"(10, 50)",-20.19363268716658
"(17, 58)",-72.0,-57.0,-55.0,-63.0,,-76.0,-58.0,-53.0,-72.0,2948,"(10, 76)",-17.937776008655266
"(17, 58)",-75.0,-64.0,,,-77.0,-74.0,,-54.0,-69.0,2948,"(13, 33)",-24.608106311562437
"(17, 58)",,-57.0,-55.0,-63.0,,-73.0,-55.0,-55.0,-70.0,2948,"(9, 89)",-16.290927363088468
"(17, 58)",-64.0,-57.0,-53.0,,,,-58.0,-52.0,-73.0,2948,"(11, 75)",-13.643355619004291
"(17, 58)",-74.0,-61.0,-54.0,-62.0,-79.0,-75.0,-59.0,-52.0,-74.0,2948,"(12, 75)",-20.887802759149302
"(17, 58)",-66.0,-52.0,-55.0,-77.0,-75.0,-68.0,-43.0,-67.0,-69.0,2948,"(13, 52)",-19.34000082235616
"(17, 58)",-71.0,-57.0,-66.0,-56.0,,-78.0,-63.0,-51.0,-75.0,2948,"(6, 90)",-19.65634282624787
"(17, 58)",-73.0,,-67.0,-59.0,-80.0,-73.0,-63.0,,-77.0,2948,"(11, 68)",-26.868061700273426
"(17, 58)",-64.0,-53.0,-65.0,-71.0,-71.0,,-62.0,-67.0,-78.0,2948,"(12, 67)",-20.945040144642057
"(17, 58)",-63.0,-49.0,-61.0,,-62.0,-70.0,-49.0,-65.0,-80.0,2948,"(14, 32)",-17.798180558207036
"(17, 58)",,-65.0,-60.0,-60.0,,,-49.0,-52.0,-75.0,2948,"(9, 91)",-16.757893811111387
"(17, 58)",-73.0,,-55.0,-61.0,-85.0,-79.0,-55.0,-53.0,-70.0,2948,"(8, 91)",-23.871831209395356
"(17, 58)",,,-58.0,,-78.0,-78.0,-52.0,,,2948,"(13, 66)",-30.811246754668176
"(17, 58)",-63.0,-54.0,-58.0,,-69.0,-75.0,-44.0,-62.0,-70.0,2948,"(10, 50)",-17.298047777665545
"(17, 58)",-73.0,-63.0,-58.0,,,-82.0,-50.0,-55.0,-73.0,2948,"(10, 68)",-23.163366102707343
"(17, 58)",,,-62.0,,-79.0,,-41.0,-52.0,-73.0,2948,"(10, 68)",-22.76069569600999
"(17, 58)",-62.0,-54.0,-51.0,-70.0,-84.0,-71.0,-52.0,-56.0,-74.0,2948,"(10, 68)",-18.285272929894216
"(17, 58)",,-57.0,-58.0,,-69.0,,-42.0,,-75.0,2948,"(13, 52)",-18.343766787018588
"(17, 58)",-76.0,-57.0,-57.0,,-80.0,-75.0,-57.0,-56.0,-69.0,2948,"(12, 67)",-21.93976746194874
"(17, 58)",-54.0,-48.0,-59.0,-78.0,-74.0,-66.0,-50.0,-60.0,-76.0,2948,"(14, 32)",-16.66480235072024
"(17, 58)",-65.0,-59.0,-49.0,-69.0,-81.0,-75.0,-47.0,,-71.0,2948,"(13, 52)",-20.61855629300307
"(17, 58)",,-57.0,-68.0,,-62.0,-64.0,-43.0,,-74.0,2948,"(10, 50)",-19.39471416686925
"(17, 58)",,-50.0,,-80.0,-68.0,-68.0,,-59.0,,2948,"(13, 31)",-22.519297361375557
"(17, 58)",-62.0,-60.0,-58.0,-82.0,-66.0,-70.0,-50.0,-56.0,-69.0,2948,"(11, 67)",-17.848145183071136
"(17, 58)",-62.0,-52.0,-66.0,,-66.0,-63.0,-47.0,,-81.0,2948,"(12, 30)",-19.95701210511113
"(17, 58)",,,,,,,-58.0,-54.0,-69.0,2948,"(5, 90)",-20.518858332614272
