tx_coord,receiver_0,receiver_1,receiver_2,receiver_3,receiver_4,receiver_5,receiver_6,receiver_7,receiver_8,class_label,best_tile_localization,best_Localization_value
"(17, 58)",-69.0,-65.0,-52.0,-76.0,-78.0,,,-58.0,-72.0,2948,"(10, 90)",-23.825353040893884
"(17, 58)",-66.0,-60.0,-57.0,,-77.0,,-39.0,-59.0,-75.0,2948,"(10, 68)",-19.359652970678574
"(17, 58)",,,,,,,,,-82.0,2948,"(14, 138)",-49.59865383217376
"(17, 58)",-66.0,-66.0,-61.0,-70.0,-80.0,,-55.0,-57.0,-78.0,2948,"(10, 68)",-22.8778010955453
"(17, 58)",-59.0,,,,-70.0,,-46.0,,-82.0,2948,"(10, 50)",-23.3974495543283
"(17, 58)",,-47.0,,,,-66.0,,,,2948,"(16, 18)",-31.15914038658161
"(17, 58)",-70.0,-59.0,,-61.0,,-74.0,-56.0,,,2948,"(14, 36)",-20.063769454405353
"(17, 58)",-75.0,-61.0,-63.0,-73.0,-73.0,,-48.0,-65.0,-78.0,2948,"(10, 68)",-25.040393457801787
"(17, 58)",-68.0,-67.0,-60.0,,-78.0,-69.0,-55.0,,-83.0,2948,"(10, 50)",-28.593160677362835
"(17, 58)",-70.0,-60.0,-60.0,-63.0,-78.0,-76.0,-52.0,-50.0,-73.0,2948,"(10, 68)",-19.507200543969038
"(17, 58)",,,-55.0,,-75.0,,-52.0,,-67.0,2948,"(10, 68)",-20.648137752096805
"(17, 58)",-67.0,-54.0,-69.0,,-69.0,-71.0,-44.0,-59.0,-78.0,2948,"(10, 50)",-21.226298635928078
"(17, 58)",-63.0,-60.0,-61.0,,-73.0,-67.0,-45.0,-61.0,-71.0,2948,"(10, 50)",-18.509999365055723
"(17, 58)",-64.0,-49.0,,,,-74.0,-41.0,-62.0,,2948,"(10, 50)",-15.724285353318459
"(17, 58)",,,-61.0,,,,-58.0,-63.0,-80.0,2948,"(8, 87)",-28.621922210805945
"(17, 58)",,,-54.0,,-77.0,,-55.0,-55.0,-71.0,2948,"(8, 87)",-21.46804001180794
"(17, 58)",-57.0,-64.0,-63.0,-78.0,-77.0,-78.0,-50.0,,-85.0,2948,"(10, 50)",-28.55178822222313
"(17, 58)",,-58.0,-54.0,-72.0,,,-45.0,-63.0,,2948,"(10, 68)",-16.322516647014144
"(17, 58)",,-66.0,-59.0,-71.0,,,-48.0,-58.0,-71.0,2948,"(10, 68)",-19.94814366358872
"(17, 58)",-61.0,-60.0,-52.0,-69.0,,-73.0,-45.0,-71.0,-74.0,2948,"(10, 68)",-19.33705170642238
"(17, 58)",-67.0,-65.0,-71.0,,-74.0,-74.0,-43.0,,-78.0,2948,"(10, 50)",-29.178965392135627
"(17, 58)",-68.0,-54.0,-53.0,-66.0,,-74.0,-56.0,,-73.0,2948,"(14, 65)",-17.73659962365345
"(17, 58)",,-54.0,-63.0,-74.0,,,-49.0,-59.0,-76.0,2948,"(10, 68)",-20.046410309754812
"(17, 58)",-52.0,-50.0,-60.0,-77.0,-75.0,-70.0,-55.0,-67.0,-86.0,2948,"(14, 32)",-21.97601211653313
"(17, 58)",-61.0,-48.0,-64.0,-71.0,-74.0,-67.0,-44.0,-64.0,-81.0,2948,"(10, 50)",-19.6258105667132
"(17, 58)",-68.0,-57.0,,-65.0,,,-63.0,-52.0,-70.0,2948,"(7, 90)",-15.268113093502441
"(17, 58)",-67.0,-52.0,,,-81.0,-75.0,-45.0,,,2948,"(14, 32)",-27.285792386996267
"(17, 58)",-68.0,-58.0,-64.0,,-66.0,-61.0,-51.0,-61.0,-75.0,2948,"(10, 50)",-18.073238655969035
