,tx_coord,best_tile_localization,distance_error,count
136,"(17, 58)","(15, 16)",42.04759208325728,1
100,"(17, 58)","(14, 16)",42.1070065428546,1
116,"(17, 58)","(17, 15)",43.0,2
113,"(17, 58)","(16, 15)",43.01162633521314,1
115,"(17, 58)","(15, 15)",43.04648650006177,4
74,"(17, 58)","(14, 15)",43.104524124504614,9
23,"(17, 58)","(13, 15)",43.18564576337837,2
103,"(17, 58)","(17, 14)",44.0,1
22,"(17, 58)","(16, 14)",44.01136216933077,9
128,"(17, 58)","(18, 14)",44.01136216933077,1
68,"(17, 58)","(15, 14)",44.04543109109048,5
139,"(17, 58)","(19, 14)",44.04543109109048,1
33,"(17, 58)","(14, 14)",44.10215414239989,1
51,"(17, 58)","(13, 103)",45.17742799230607,3
125,"(17, 58)","(17, 12)",46.0,1
64,"(17, 58)","(16, 12)",46.010868281309364,3
104,"(17, 58)","(15, 12)",46.04345773288535,1
132,"(17, 58)","(3, 102)",46.17358552246078,1
141,"(17, 58)","(14, 11)",47.095647357266465,1
92,"(17, 58)","(13, 10)",48.16637831516918,1
82,"(17, 58)","(9, 108)",50.635955604688654,2
96,"(17, 58)","(7, 109)",51.97114584074513,2
78,"(17, 58)","(15, 111)",53.03772242470448,1
2,"(17, 58)","(14, 138)",80.05623023850174,1
