,location,corners,center,sensor_distances,calculated_RSSI,avg_RSSI,mode_RSSI,best_RSSI,is_emitter,score,hasSensor
0,"(0, 0)","((26.713378, -80.05693981171936), (26.713378, -80.05692974393271), (26.71338699321606, -80.05693981171936), (26.71338699321606, -80.05692974393271))","(26.713382496608027, -80.05693477782603)","{'57': 13.939649675507766, '20': 26.118889771379354, '05': 82.62374059586276, '34': 125.1574631326596, '22': 1.8564563601911908, '06': 19.714318268555694, '31': 57.581383609712674, '36': 98.29600327650681, '35': 120.73977836586965}","{'57': -39.17939656363487, '20': -47.36048215768823, '05': -62.36498636344718, '34': -67.77554333116365, '22': -12.91238312201592, '06': -43.69529368714036, '31': -57.660303667852965, '36': -64.62791657325243, '35': -67.3073520103527}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[]
1,"(0, 1)","((26.713378, -80.05692974393271), (26.713378, -80.05691967614607), (26.71338699321606, -80.05692974393271), (26.71338699321606, -80.05691967614607))","(26.713382496608027, -80.0569247100394)","{'57': 13.905683867922292, '20': 25.28208708455908, '05': 81.63326094089896, '34': 124.15985647052945, '22': 2.2566410736860303, '06': 18.71436074614374, '31': 56.57975971768882, '36': 97.29427605517834, '35': 119.73808242633116}","{'57': -39.14761133807612, '20': -46.93622846885553, '05': -62.20785513916507, '34': -67.67127683701662, '22': -15.455715438387404, '06': -43.0170906871027, '31': -57.431673744021644, '36': -64.49445950884147, '35': -67.19880974361665}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[]
2,"(0, 2)","((26.713378, -80.05691967614607), (26.713378, -80.05690960835942), (26.71338699321606, -80.05691967614607), (26.71338699321606, -80.05690960835942))","(26.713382496608027, -80.05691464225274)","{'57': 13.94379614500715, '20': 24.457690978349536, '05': 80.64306088938513, '34': 123.16231784202091, '22': 2.957300445703284, '06': 17.7146111939622, '31': 55.578142098172144, '36': 96.2925503051274, '35': 118.73638820763094}","{'57': -39.18327152696866, '20': -46.50430438321904, '05': -62.0488508860783, '34': -67.56617638519336, '22': -18.978704243008025, '06': -42.30178952311349, '31': -57.19896152526257, '36': -64.35962145499707, '35': -67.08935580606871}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[]
3,"(0, 3)","((26.713378, -80.05690960835942), (26.713378, -80.05689954057277), (26.71338699321606, -80.05690960835942), (26.71338699321606, -80.05689954057277))","(26.713382496608027, -80.0569045744661)","{'57': 14.053400100192562, '20': 23.6469990710568, '05': 79.65315087641491, '34': 122.16484891487042, '22': 3.7955264683518517, '06': 16.715106934367093, '31': 54.576531102109385, '36': 95.29082607839351, '35': 117.73469575931462}","{'57': -39.28528310488945, '20': -46.065121810276075, '05': -61.88792958290846, '34': -67.46022864762045, '22': -22.23000151158657, '06': -41.54511556066808, '31': -56.96201863136249, '36': -64.2233735371864, '35': -66.97897475711797}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[]
4,"(0, 4)","((26.713378, -80.05689954057277), (26.713378, -80.05688947278612), (26.71338699321606, -80.05689954057277), (26.71338699321606, -80.05688947278612))","(26.713382496608027, -80.05689450667944)","{'57': 14.232844206176154, '20': 22.851469939266828, '05': 78.66354184591238, '34': 121.1674514092512, '22': 4.698256559446119, '06': 15.71589476258451, '31': 53.57492709549857, '36': 94.28910341783526, '35': 116.73300512128364}","{'57': -39.4505916477887, '20': -45.619265030423975, '05': -61.725045682981055, '34': -67.35341997694007, '22': -25.009942644078883, '06': -40.742014141260626, '31': -56.720688442841336, '36': -64.08568596429282, '35': -66.86765075938413}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[]
5,"(0, 5)","((26.713378, -80.05688947278612), (26.713378, -80.05687940499948), (26.71338699321606, -80.05688947278612), (26.71338699321606, -80.05687940499948))","(26.713382496608027, -80.05688443889281)","{'57': 14.479532117579232, '20': 22.07274310314756, '05': 77.67424530571856, '34': 120.17012710766026, '22': 5.634572430235193, '06': 14.717034178457816, '31': 52.57333048353284, '36': 93.2873823796854, '35': 115.73131634628356}","{'57': -39.67447663812758, '20': -45.16753004253225, '05': -61.56015204936012, '34': -67.24573639716742, '22': -27.37766975943647, '06': -39.88644973516388, '31': -56.47480548519025, '36': -63.94652799259716, '35': -66.75536756754425}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[]
6,"(0, 6)","((26.713378, -80.05687940499948), (26.713378, -80.05686933721283), (26.71338699321606, -80.05687940499948), (26.71338699321606, -80.05686933721283))","(26.713382496608027, -80.05687437110615)","{'57': 14.790099488452553, '20': 21.312660416408335, '05': 76.68527334595126, '34': 119.17287784220655, '22': 6.590174241805028, '06': 13.718601973604775, '31': 51.57174169109132, '36': 92.28566301101772, '35': 114.7296294773718}","{'57': -39.95097364215382, '20': -44.71097073705426, '05': -61.393199879900685, '34': -67.13716359150291, '22': -29.41874770099687, '06': -38.97113645574409, '31': -56.224194743001824, '36': -63.80586788148411, '35': -66.6421085116043}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[]
7,"(0, 7)","((26.713378, -80.05686933721283), (26.713378, -80.05685926942618), (26.71338699321606, -80.05686933721283), (26.71338699321606, -80.05685926942618))","(26.713382496608027, -80.05686430331951)","{'57': 15.160621086915437, '20': 20.573288419547836, '05': 75.69663869373835, '34': 118.17570551932856, '22': 7.557749984349243, '06': 12.720699024540705, '31': 50.57016118869246, '36': 91.28394537243469, '35': 113.72794457053823}","{'57': -40.27335058456897, '20': -44.25095221776244, '05': -61.22413863395385, '34': -67.0276868937535, '22': -31.203616412598553, '06': -37.98717009715103, '31': -55.968670918488186, '36': -63.66367285315105, '35': -66.52785648458769}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[]
8,"(0, 8)","((26.713378, -80.05685926942618), (26.713378, -80.05684920163954), (26.71338699321606, -80.05685926942618), (26.71338699321606, -80.05684920163954))","(26.713382496608027, -80.05685423553285)","{'57': 15.586821900988914, '20': 19.85694072523394, '05': 74.70835473475702, '34': 117.17861209419388, '22': 8.533227492162933, '06': 11.723460475297829, '31': 49.56858947311721, '36': 90.28222951588752, '35': 112.72626167256979}","{'57': -40.6345679732165, '20': -43.7892109630316, '05': -61.05291594882759, '34': -66.9172912738257, '22': -32.785240497702205, '06': -36.923515488533404, '31': -55.708037604089284, '36': -63.51990904365551, '35': -66.41259392452967}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[]
9,"(0, 9)","((26.713378, -80.05684920163954), (26.713378, -80.05683913385289), (26.71338699321606, -80.05684920163954), (26.71338699321606, -80.05683913385289))","(26.713382496608027, -80.05684416774622)","{'57': 16.064270868292166, '20': 19.16619915226688, '05': 73.72043557679342, '34': 116.18159960759918, '22': 9.514176593236744, '06': 10.727071632651231, '31': 48.567027093803986, '36': 89.28051550712074, '35': 111.724580843164}","{'57': -41.02767133295789, '20': -43.32792067615621, '05': -60.87947755842431, '34': -66.8059613295905, '22': -34.202977024773816, '06': -35.7662762031878, '31': -55.44208638284967, '36': -63.374541457708425, '35': -66.29630280080546}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[]
