,tx_coord,best_tile_localization,distance_error,count
50,"(7, 1)","(9, 5)",4.47213595499958,5
128,"(7, 1)","(6, 10)",9.055385138137417,1
3,"(7, 1)","(12, 9)",9.433981132056603,416
6,"(7, 1)","(11, 10)",9.848857801796104,58
19,"(7, 1)","(13, 9)",10.0,6
115,"(7, 1)","(7, 11)",10.0,1
0,"(7, 1)","(8, 11)",10.04987562112089,87
15,"(7, 1)","(6, 11)",10.04987562112089,11
100,"(7, 1)","(9, 11)",10.198039027185569,1
43,"(7, 1)","(5, 11)",10.198039027185569,6
40,"(7, 1)","(12, 10)",10.295630140987,6
35,"(7, 1)","(4, 11)",10.44030650891055,2
27,"(7, 1)","(13, 10)",10.816653826391969,6
59,"(7, 1)","(7, 12)",11.0,1
126,"(7, 1)","(9, 12)",11.180339887498949,1
17,"(7, 1)","(10, 12)",11.40175425099138,2
22,"(7, 1)","(13, 11)",11.661903789690601,1
62,"(7, 1)","(11, 12)",11.704699910719626,3
76,"(7, 1)","(12, 12)",12.083045973594572,1
10,"(7, 1)","(14, 11)",12.206555615733702,39
130,"(7, 1)","(13, 12)",12.529964086141668,1
113,"(7, 1)","(11, 13)",12.649110640673518,2
102,"(7, 1)","(12, 13)",13.0,3
45,"(7, 1)","(14, 12)",13.038404810405298,1
70,"(7, 1)","(6, 14)",13.038404810405298,1
4,"(7, 1)","(10, 14)",13.341664064126334,1
96,"(7, 1)","(15, 12)",13.601470508735444,1
94,"(7, 1)","(14, 13)",13.892443989449804,2
12,"(7, 1)","(16, 12)",14.212670403551895,51
7,"(7, 1)","(13, 14)",14.317821063276353,34
106,"(7, 1)","(14, 14)",14.7648230602334,4
116,"(7, 1)","(13, 15)",15.231546211727817,3
21,"(7, 1)","(15, 14)",15.264337522473747,3
84,"(7, 1)","(18, 12)",15.556349186104045,1
39,"(7, 1)","(14, 15)",15.652475842498529,11
53,"(7, 1)","(16, 14)",15.811388300841896,1
46,"(7, 1)","(12, 16)",15.811388300841896,2
61,"(7, 1)","(11, 18)",17.46424919657298,1
37,"(7, 1)","(22, 12)",18.601075237738275,2
51,"(7, 1)","(15, 19)",19.697715603592208,1
64,"(7, 1)","(18, 19)",21.095023109728988,1
120,"(7, 1)","(10, 28)",27.16615541441225,1
18,"(7, 1)","(11, 29)",28.284271247461902,11
67,"(7, 1)","(12, 29)",28.442925306655784,2
75,"(7, 1)","(10, 30)",29.154759474226502,7
2,"(7, 1)","(11, 30)",29.274562336608895,35
56,"(7, 1)","(12, 30)",29.427877939124322,4
8,"(7, 1)","(7, 31)",30.0,9
81,"(7, 1)","(6, 31)",30.01666203960727,1
77,"(7, 1)","(9, 31)",30.066592756745816,1
38,"(7, 1)","(5, 31)",30.066592756745816,1
30,"(7, 1)","(4, 31)",30.14962686336267,2
66,"(7, 1)","(10, 31)",30.14962686336267,2
13,"(7, 1)","(12, 31)",30.4138126514911,4
90,"(7, 1)","(13, 31)",30.59411708155671,1
83,"(7, 1)","(10, 32)",31.144823004794873,1
23,"(7, 1)","(11, 32)",31.25699921617557,1
63,"(7, 1)","(12, 32)",31.400636936215164,1
14,"(7, 1)","(13, 32)",31.575306807693888,2
28,"(7, 1)","(14, 32)",31.78049716414141,3
78,"(7, 1)","(15, 33)",32.984845004941285,1
72,"(7, 1)","(9, 34)",33.06055050963308,1
91,"(7, 1)","(10, 34)",33.13608305156178,1
110,"(7, 1)","(16, 33)",33.24154027718932,2
9,"(7, 1)","(17, 33)",33.52610922848042,6
124,"(7, 1)","(13, 34)",33.54101966249684,1
131,"(7, 1)","(7, 36)",35.0,1
87,"(7, 1)","(16, 36)",36.138621999185304,1
135,"(7, 1)","(13, 37)",36.49657518178932,1
101,"(7, 1)","(11, 38)",37.21558813185679,1
85,"(7, 1)","(10, 41)",40.11234224026316,1
119,"(7, 1)","(15, 42)",41.773197148410844,1
5,"(7, 1)","(11, 44)",43.18564576337837,1
111,"(7, 1)","(11, 47)",46.17358552246078,1
112,"(7, 1)","(16, 66)",65.62011886609167,1
117,"(7, 1)","(11, 69)",68.11754546370561,1
107,"(7, 1)","(13, 69)",68.26419266350405,2
95,"(7, 1)","(13, 70)",69.26037828369117,2
108,"(7, 1)","(9, 71)",70.02856560004639,1
49,"(7, 1)","(11, 71)",70.11419257183242,1
60,"(7, 1)","(8, 72)",71.00704190430693,2
132,"(7, 1)","(9, 72)",71.02816342831905,1
32,"(7, 1)","(10, 72)",71.06335201775947,3
11,"(7, 1)","(15, 72)",71.449282711585,1
114,"(7, 1)","(11, 73)",72.11102550927978,1
26,"(7, 1)","(9, 74)",73.02739212103907,1
65,"(7, 1)","(5, 74)",73.02739212103907,1
82,"(7, 1)","(11, 74)",73.10950690573696,2
104,"(7, 1)","(14, 74)",73.33484846919642,1
68,"(7, 1)","(6, 75)",74.00675644831355,1
69,"(7, 1)","(9, 75)",74.02702209328699,2
133,"(7, 1)","(11, 75)",74.10802925459562,1
34,"(7, 1)","(12, 75)",74.16872656315464,1
54,"(7, 1)","(7, 76)",75.0,1
74,"(7, 1)","(8, 76)",75.0066663703967,1
29,"(7, 1)","(10, 76)",75.05997601918082,1
20,"(7, 1)","(7, 77)",76.0,2
24,"(7, 1)","(7, 78)",77.0,1
25,"(7, 1)","(8, 78)",77.00649323271382,1
80,"(7, 1)","(6, 78)",77.00649323271382,1
31,"(7, 1)","(5, 78)",77.02596964660685,1
33,"(7, 1)","(9, 78)",77.02596964660685,2
47,"(7, 1)","(5, 79)",78.02563681252464,1
118,"(7, 1)","(8, 80)",79.00632886041473,2
86,"(7, 1)","(2, 80)",79.1580697086532,1
1,"(7, 1)","(7, 82)",81.0,3
16,"(7, 1)","(7, 83)",82.0,1
99,"(7, 1)","(5, 83)",82.02438661763951,1
103,"(7, 1)","(4, 83)",82.05485969764375,1
73,"(7, 1)","(7, 84)",83.0,2
44,"(7, 1)","(6, 84)",83.00602387778854,1
57,"(7, 1)","(8, 84)",83.00602387778854,1
93,"(7, 1)","(7, 85)",84.0,2
98,"(7, 1)","(8, 85)",84.00595217006948,1
36,"(7, 1)","(10, 85)",84.0535543567314,1
71,"(7, 1)","(8, 87)",86.00581375697809,2
88,"(7, 1)","(8, 89)",88.0056816347672,1
134,"(7, 1)","(5, 89)",88.02272433866155,1
55,"(7, 1)","(6, 90)",89.00561780022652,2
105,"(7, 1)","(5, 90)",89.02246907382428,1
125,"(7, 1)","(9, 90)",89.02246907382428,1
42,"(7, 1)","(13, 92)",91.19758768739445,1
129,"(7, 1)","(24, 91)",91.59148432032315,1
79,"(7, 1)","(12, 94)",93.13431161500041,1
121,"(7, 1)","(14, 95)",94.26027795418386,1
89,"(7, 1)","(10, 98)",97.04638066409278,1
123,"(7, 1)","(14, 98)",97.25224933131366,1
58,"(7, 1)","(14, 100)",99.24716620639605,1
48,"(7, 1)","(10, 101)",100.04498987955368,1
127,"(7, 1)","(13, 102)",101.17806086301516,1
92,"(7, 1)","(11, 105)",104.0768946500615,1
109,"(7, 1)","(1, 105)",104.17293314484334,1
52,"(7, 1)","(7, 109)",108.0,2
41,"(7, 1)","(10, 109)",108.04165863221463,1
122,"(7, 1)","(4, 114)",113.03981599418853,1
97,"(7, 1)","(1, 114)",113.1591799192624,1
