tx_coord,receiver_0,receiver_1,receiver_2,receiver_3,receiver_4,receiver_5,receiver_6,receiver_7,receiver_8,class_label
"(7, 1)",-53.0,,-70.0,,-60.0,-60.0,,-63.0,-68.0,1191
"(7, 1)",,,-65.0,-73.0,-43.0,-62.0,-70.0,-72.0,-79.0,1191
"(7, 1)",-41.0,,,,-34.0,-61.0,,,,1191
"(7, 1)",-52.0,-66.0,-75.0,,-50.0,-66.0,-83.0,-78.0,-81.0,1191
"(7, 1)",-50.0,-68.0,,,-50.0,-67.0,,,-76.0,1191
"(7, 1)",-43.0,-73.0,-86.0,,-53.0,-68.0,-75.0,-78.0,-79.0,1191
"(7, 1)",-52.0,,-67.0,-83.0,-54.0,,-79.0,-74.0,-75.0,1191
"(7, 1)",-36.0,-55.0,-73.0,-81.0,-39.0,-62.0,-75.0,-80.0,-86.0,1191
"(7, 1)",-54.0,-66.0,-74.0,,-58.0,-60.0,-78.0,-79.0,,1191
"(7, 1)",-51.0,,,,-52.0,-69.0,-85.0,,,1191
"(7, 1)",-50.0,-59.0,,,-57.0,-65.0,,-73.0,-72.0,1191
"(7, 1)",-43.0,,,,-53.0,-52.0,,,,1191
"(7, 1)",-47.0,-68.0,,,-46.0,-62.0,-77.0,,-72.0,1191
"(7, 1)",,-43.0,,,,,-73.0,,,1191
"(7, 1)",-41.0,,-60.0,-76.0,,-56.0,-69.0,-68.0,-63.0,1191
"(7, 1)",,,,,,-53.0,,,-64.0,1191
"(7, 1)",,,,,,,-69.0,-70.0,,1191
"(7, 1)",-45.0,-67.0,,,-49.0,-67.0,-76.0,,,1191
"(7, 1)",,,-66.0,,,-58.0,-70.0,,-65.0,1191
"(7, 1)",,-67.0,,-74.0,,,-71.0,-70.0,,1191
"(7, 1)",-42.0,-53.0,-68.0,-77.0,-40.0,-54.0,-74.0,-68.0,-66.0,1191
"(7, 1)",,-58.0,-77.0,,-33.0,-62.0,,-80.0,,1191
"(7, 1)",,,-73.0,-87.0,,-66.0,,-83.0,,1191
"(7, 1)",,,,,-50.0,-49.0,-67.0,,-68.0,1191
"(7, 1)",-42.0,-63.0,-76.0,,-52.0,,-78.0,,,1191
"(7, 1)",,,,-81.0,,,-77.0,,,1191
"(7, 1)",-48.0,-65.0,-75.0,-80.0,-37.0,-63.0,-77.0,-80.0,,1191
"(7, 1)",,-57.0,,,-46.0,,-80.0,,,1191
"(7, 1)",-60.0,,,,,,,,,1191
"(7, 1)",-52.0,,,,-46.0,,-66.0,,-67.0,1191
"(7, 1)",-43.0,-55.0,-66.0,,-43.0,,,,-68.0,1191
"(7, 1)",,-53.0,,,-54.0,,-69.0,-65.0,-68.0,1191
"(7, 1)",,,,,,-53.0,,,-66.0,1191
"(7, 1)",,,,,,-64.0,,,-79.0,1191
"(7, 1)",-47.0,-72.0,-72.0,,,-65.0,-70.0,,-77.0,1191
"(7, 1)",-47.0,-59.0,-63.0,,-50.0,-51.0,-69.0,-68.0,-67.0,1191
"(7, 1)",-42.0,,,,-37.0,-65.0,,,,1191
"(7, 1)",-61.0,,-75.0,,,-62.0,,,,1191
"(7, 1)",-59.0,-61.0,,,-39.0,-66.0,,,,1191
"(7, 1)",-55.0,-57.0,-62.0,-78.0,-48.0,-54.0,-74.0,-67.0,-67.0,1191
"(7, 1)",-59.0,-63.0,-76.0,,-39.0,-59.0,-80.0,-79.0,-80.0,1191
"(7, 1)",-47.0,-55.0,-67.0,-78.0,-48.0,-51.0,-65.0,-71.0,-65.0,1191
"(7, 1)",-49.0,-61.0,-77.0,,-34.0,,-84.0,,,1191
"(7, 1)",-42.0,-51.0,-71.0,-79.0,-50.0,-62.0,-73.0,-76.0,-67.0,1191
"(7, 1)",-51.0,-51.0,,,-45.0,-59.0,-66.0,-66.0,-62.0,1191
"(7, 1)",-44.0,-49.0,-70.0,,-39.0,-55.0,-73.0,-70.0,-68.0,1191
"(7, 1)",-65.0,-63.0,,,-52.0,-59.0,,-73.0,,1191
"(7, 1)",,-68.0,,,-45.0,-60.0,-76.0,,,1191
"(7, 1)",-46.0,-67.0,,,-60.0,-62.0,,,,1191
"(7, 1)",,-49.0,,,-45.0,-56.0,,-67.0,-62.0,1191
"(7, 1)",-47.0,-59.0,-82.0,-80.0,-45.0,-58.0,-72.0,-68.0,-73.0,1191
"(7, 1)",-52.0,,,,-48.0,,-65.0,-62.0,,1191
"(7, 1)",,,,,,,,,-75.0,1191
"(7, 1)",-44.0,,-76.0,,,,,-82.0,-72.0,1191
"(7, 1)",-61.0,-60.0,-69.0,,-63.0,-63.0,-72.0,,-73.0,1191
"(7, 1)",-36.0,-49.0,,,-43.0,-69.0,-74.0,-70.0,-81.0,1191
"(7, 1)",,,-65.0,-79.0,,,-70.0,-70.0,-69.0,1191
"(7, 1)",-56.0,-69.0,-68.0,,-52.0,-62.0,-73.0,-74.0,-71.0,1191
"(7, 1)",,-67.0,,,-47.0,,-78.0,,-80.0,1191
"(7, 1)",-54.0,-63.0,,,-54.0,-57.0,-75.0,,,1191
"(7, 1)",,-57.0,,,-47.0,,-77.0,-71.0,,1191
"(7, 1)",-43.0,-51.0,-69.0,-75.0,-41.0,,-70.0,-74.0,-79.0,1191
"(7, 1)",,,,,-47.0,,-73.0,-76.0,,1191
"(7, 1)",,,-66.0,,-63.0,,,-77.0,-74.0,1191
"(7, 1)",,-66.0,-67.0,,-45.0,-64.0,-75.0,-81.0,-77.0,1191
"(7, 1)",-46.0,-53.0,-61.0,-75.0,-44.0,-61.0,-63.0,-73.0,-70.0,1191
"(7, 1)",-43.0,-49.0,-70.0,-78.0,,,-71.0,-74.0,-68.0,1191
"(7, 1)",-48.0,-61.0,-65.0,,-50.0,,-71.0,,-63.0,1191
"(7, 1)",,-69.0,-83.0,,-47.0,,-78.0,-83.0,-84.0,1191
"(7, 1)",-50.0,-66.0,,,-49.0,-62.0,-75.0,,,1191
"(7, 1)",-50.0,-68.0,,,-37.0,-64.0,,-72.0,-87.0,1191
"(7, 1)",-63.0,-64.0,-71.0,,-62.0,-60.0,-76.0,,-78.0,1191
"(7, 1)",-54.0,-55.0,-65.0,-75.0,-46.0,-55.0,-70.0,,-68.0,1191
"(7, 1)",,-46.0,,,-45.0,,-69.0,,,1191
"(7, 1)",-49.0,-66.0,-71.0,,-46.0,-72.0,-78.0,-75.0,,1191
"(7, 1)",,-65.0,,,-35.0,-63.0,-83.0,,,1191
"(7, 1)",-46.0,-58.0,-63.0,-80.0,,-54.0,-75.0,-66.0,-71.0,1191
"(7, 1)",-48.0,,-75.0,,-46.0,,,-79.0,-81.0,1191
"(7, 1)",,,,,-33.0,,-82.0,,-82.0,1191
"(7, 1)",,-50.0,-56.0,,-50.0,-52.0,-65.0,-72.0,-64.0,1191
"(7, 1)",-53.0,,-77.0,,-37.0,,-83.0,-84.0,-84.0,1191
"(7, 1)",-41.0,,-71.0,,-45.0,-60.0,-79.0,-67.0,,1191
"(7, 1)",,-49.0,,,,,,,-80.0,1191
"(7, 1)",,,,,,,-79.0,-79.0,,1191
"(7, 1)",-49.0,-61.0,-81.0,,-64.0,,-83.0,,-81.0,1191
"(7, 1)",-44.0,,-73.0,,-49.0,-69.0,-78.0,,-74.0,1191
"(7, 1)",-60.0,-58.0,-74.0,,-51.0,-59.0,-78.0,,-77.0,1191
"(7, 1)",-35.0,,-65.0,,-45.0,-62.0,,-71.0,-80.0,1191
"(7, 1)",-55.0,-63.0,-70.0,,,-65.0,-82.0,,-84.0,1191
"(7, 1)",-52.0,,-77.0,,-40.0,,-78.0,-81.0,-77.0,1191
"(7, 1)",,-64.0,,,-55.0,-60.0,-70.0,,,1191
"(7, 1)",-50.0,-60.0,-58.0,,-48.0,-55.0,-71.0,,-62.0,1191
"(7, 1)",-56.0,,,-78.0,-43.0,-57.0,-69.0,-66.0,-66.0,1191
"(7, 1)",-64.0,-70.0,-71.0,,-52.0,-69.0,,,-81.0,1191
"(7, 1)",-50.0,,,,-53.0,,-76.0,-76.0,-79.0,1191
"(7, 1)",,-61.0,,,-32.0,-66.0,-77.0,,,1191
"(7, 1)",-49.0,,,,-55.0,-66.0,-73.0,,,1191
"(7, 1)",-44.0,-58.0,-69.0,-75.0,-48.0,,-67.0,-64.0,-64.0,1191
"(7, 1)",-42.0,-51.0,,,-44.0,-52.0,-76.0,-71.0,-81.0,1191
"(7, 1)",,-54.0,,,-52.0,-59.0,-76.0,,,1191
"(7, 1)",,,-70.0,-79.0,,-53.0,,,-62.0,1191
"(7, 1)",,,-61.0,,,-54.0,-65.0,,-68.0,1191
"(7, 1)",-53.0,-68.0,,,-48.0,-63.0,,,,1191
"(7, 1)",-64.0,,,,-43.0,,,,,1191
"(7, 1)",,-65.0,,,-35.0,,-78.0,,-83.0,1191
"(7, 1)",,-67.0,,,-36.0,-65.0,,,-86.0,1191
"(7, 1)",-37.0,-49.0,-67.0,-77.0,-46.0,-64.0,-77.0,,,1191
"(7, 1)",-44.0,-58.0,-62.0,-77.0,-44.0,,,-73.0,-71.0,1191
"(7, 1)",,-66.0,,,-50.0,-64.0,,-72.0,,1191
"(7, 1)",-52.0,-71.0,,,-45.0,-49.0,,-65.0,,1191
"(7, 1)",-52.0,-65.0,-74.0,-82.0,-35.0,-63.0,-84.0,-82.0,-83.0,1191
"(7, 1)",-51.0,-66.0,,,-63.0,,-75.0,,-73.0,1191
"(7, 1)",-69.0,,-73.0,,-49.0,-67.0,-80.0,,,1191
"(7, 1)",-43.0,,,-73.0,-45.0,-60.0,,-72.0,,1191
"(7, 1)",-51.0,-71.0,-69.0,,-52.0,-64.0,-73.0,-83.0,-70.0,1191
"(7, 1)",-67.0,,,,,,-74.0,,,1191
"(7, 1)",-66.0,-61.0,-65.0,,-47.0,,,,-66.0,1191
"(7, 1)",-52.0,,-74.0,,-47.0,-67.0,-85.0,-83.0,-88.0,1191
"(7, 1)",-54.0,-62.0,-67.0,,-60.0,-67.0,-79.0,,-78.0,1191
"(7, 1)",-51.0,-67.0,-79.0,,-52.0,-61.0,,,-80.0,1191
"(7, 1)",-53.0,-65.0,-66.0,,-52.0,,-75.0,,-76.0,1191
"(7, 1)",-40.0,-55.0,-71.0,-75.0,-56.0,-62.0,-74.0,-71.0,-81.0,1191
"(7, 1)",,,,-79.0,,,,-68.0,,1191
"(7, 1)",-62.0,,-73.0,,-56.0,,-80.0,,-79.0,1191
"(7, 1)",-42.0,-42.0,-64.0,,-48.0,,-70.0,,-76.0,1191
"(7, 1)",-55.0,-53.0,,,-45.0,-50.0,-73.0,,,1191
"(7, 1)",-58.0,-67.0,-78.0,,-50.0,-64.0,-78.0,-76.0,-70.0,1191
"(7, 1)",-44.0,,,,,-64.0,,,-75.0,1191
"(7, 1)",-53.0,-63.0,-68.0,,-53.0,-60.0,-79.0,,-69.0,1191
"(7, 1)",-58.0,-64.0,-68.0,,-63.0,,-79.0,,-75.0,1191
"(7, 1)",,-63.0,-74.0,,-46.0,,-81.0,,-85.0,1191
"(7, 1)",-53.0,-66.0,,,-56.0,-62.0,,,,1191
"(7, 1)",-42.0,-53.0,-70.0,,-50.0,-57.0,-77.0,,-83.0,1191
"(7, 1)",-40.0,-66.0,-78.0,-86.0,-37.0,-69.0,-74.0,,-87.0,1191
"(7, 1)",-62.0,-62.0,-72.0,,-50.0,,-75.0,-71.0,-74.0,1191
"(7, 1)",-52.0,-59.0,,,-49.0,,,,-73.0,1191
"(7, 1)",-43.0,-52.0,-69.0,,-44.0,-59.0,-69.0,,-77.0,1191
"(7, 1)",-46.0,-49.0,-67.0,,-41.0,-54.0,-71.0,-70.0,-65.0,1191
"(7, 1)",-45.0,-56.0,-66.0,,-41.0,-59.0,-69.0,-72.0,-81.0,1191
"(7, 1)",-51.0,-64.0,,,-51.0,,-75.0,-73.0,,1191
"(7, 1)",,-63.0,-71.0,,,,-68.0,-74.0,-63.0,1191
"(7, 1)",,,,,,,-79.0,-76.0,,1191
"(7, 1)",-47.0,-64.0,-73.0,,-57.0,-62.0,-81.0,,-81.0,1191
"(7, 1)",-57.0,-59.0,-69.0,,-51.0,-64.0,-73.0,-71.0,-70.0,1191
"(7, 1)",,-56.0,-73.0,,-42.0,-63.0,-76.0,-73.0,-78.0,1191
"(7, 1)",-55.0,-65.0,-81.0,,-54.0,-66.0,,-82.0,-85.0,1191
"(7, 1)",-59.0,-66.0,-75.0,,-44.0,,,,-83.0,1191
"(7, 1)",,-71.0,,,-38.0,-67.0,-80.0,,,1191
"(7, 1)",-57.0,-67.0,-73.0,,-63.0,-66.0,,-77.0,-72.0,1191
"(7, 1)",,-64.0,-72.0,,,-64.0,-74.0,,,1191
"(7, 1)",,-71.0,,,-34.0,-66.0,,,,1191
"(7, 1)",-54.0,-62.0,-68.0,,-47.0,,,,-73.0,1191
"(7, 1)",-56.0,-50.0,-57.0,,-44.0,-45.0,-73.0,-66.0,-66.0,1191
"(7, 1)",-53.0,-63.0,,,-39.0,-61.0,,,,1191
"(7, 1)",-46.0,,-74.0,,,,,-77.0,-84.0,1191
"(7, 1)",,-62.0,,,-45.0,-64.0,-78.0,-68.0,-78.0,1191
"(7, 1)",-40.0,-60.0,-80.0,,-38.0,-67.0,-76.0,-79.0,-82.0,1191
"(7, 1)",-58.0,-62.0,-75.0,,-41.0,-60.0,-80.0,-77.0,,1191
"(7, 1)",,-66.0,,,-49.0,,-76.0,-71.0,,1191
"(7, 1)",-50.0,-67.0,-71.0,,,,-75.0,-78.0,-72.0,1191
"(7, 1)",-39.0,-54.0,-64.0,,-49.0,-57.0,,-73.0,,1191
"(7, 1)",-52.0,-52.0,-61.0,-77.0,-49.0,-49.0,-72.0,-67.0,-62.0,1191
"(7, 1)",-52.0,,,,,,-79.0,-74.0,,1191
"(7, 1)",-64.0,,,,,-63.0,,,-76.0,1191
"(7, 1)",-50.0,-52.0,,,-45.0,,-73.0,-70.0,,1191
"(7, 1)",-44.0,-56.0,-77.0,,-46.0,-59.0,-71.0,-70.0,,1191
"(7, 1)",-53.0,-63.0,-67.0,,-48.0,,-72.0,-78.0,-72.0,1191
"(7, 1)",-58.0,-64.0,,,-68.0,-61.0,-77.0,,,1191
"(7, 1)",-58.0,-46.0,-60.0,,-56.0,-57.0,-67.0,-67.0,-66.0,1191
"(7, 1)",-51.0,-67.0,-68.0,,-46.0,-66.0,-76.0,-73.0,-76.0,1191
"(7, 1)",-44.0,-54.0,-60.0,,-44.0,-61.0,-67.0,-67.0,,1191
"(7, 1)",-51.0,,,-85.0,-42.0,-60.0,,,-82.0,1191
"(7, 1)",-51.0,-49.0,-73.0,-85.0,-51.0,,-68.0,-66.0,-65.0,1191
"(7, 1)",,-66.0,-62.0,,,,-73.0,-67.0,-70.0,1191
"(7, 1)",-56.0,,,,,-68.0,-86.0,-78.0,-81.0,1191
"(7, 1)",-38.0,-47.0,,,-49.0,-56.0,-70.0,-86.0,-83.0,1191
"(7, 1)",-58.0,-65.0,-74.0,,-52.0,-62.0,-78.0,-82.0,-73.0,1191
"(7, 1)",-52.0,-64.0,-70.0,,-34.0,,-83.0,,-84.0,1191
"(7, 1)",-44.0,-65.0,,-74.0,-45.0,-57.0,-61.0,-69.0,-68.0,1191
"(7, 1)",,,,,-39.0,-63.0,,,,1191
"(7, 1)",-44.0,-60.0,-64.0,,-44.0,-57.0,,-70.0,-65.0,1191
"(7, 1)",-55.0,-62.0,-79.0,,-40.0,-64.0,-84.0,-82.0,-84.0,1191
"(7, 1)",,,,,-47.0,,,,,1191
"(7, 1)",,-58.0,-79.0,,,,,-64.0,-66.0,1191
"(7, 1)",,,,,-52.0,,,,-86.0,1191
"(7, 1)",-51.0,-58.0,-71.0,,-52.0,-53.0,,,-66.0,1191
"(7, 1)",-60.0,-60.0,-70.0,,-52.0,-68.0,,,-72.0,1191
"(7, 1)",-45.0,,,-75.0,-52.0,-62.0,-73.0,-72.0,-70.0,1191
"(7, 1)",-55.0,-63.0,-75.0,,-58.0,-68.0,-81.0,,-76.0,1191
"(7, 1)",-52.0,-59.0,-62.0,,-47.0,-50.0,-65.0,-65.0,-68.0,1191
"(7, 1)",,-62.0,,-74.0,-56.0,-52.0,,-62.0,-65.0,1191
"(7, 1)",-53.0,-67.0,-73.0,,-31.0,-66.0,,-76.0,,1191
"(7, 1)",,-69.0,-70.0,-84.0,-46.0,-67.0,-83.0,-83.0,-80.0,1191
"(7, 1)",,,-73.0,,-52.0,,,,-71.0,1191
"(7, 1)",,-65.0,-74.0,-82.0,,-52.0,-69.0,-71.0,-63.0,1191
"(7, 1)",-54.0,-61.0,-81.0,,-39.0,-63.0,-80.0,-82.0,-88.0,1191
"(7, 1)",-46.0,-56.0,,-80.0,-49.0,,-65.0,,-66.0,1191
"(7, 1)",-50.0,-70.0,,,-54.0,-65.0,,,,1191
"(7, 1)",-60.0,-67.0,,,-49.0,-74.0,,,-79.0,1191
"(7, 1)",,-51.0,-67.0,,-43.0,-58.0,-71.0,-70.0,-81.0,1191
"(7, 1)",-57.0,-71.0,-70.0,,-48.0,,-79.0,-72.0,,1191
"(7, 1)",,-67.0,,,-49.0,,,,-72.0,1191
"(7, 1)",,-69.0,,,-37.0,-62.0,-84.0,,-83.0,1191
"(7, 1)",,-54.0,-60.0,,-55.0,-53.0,-75.0,-70.0,,1191
"(7, 1)",-50.0,,,,,-63.0,,-76.0,-81.0,1191
"(7, 1)",,-64.0,,-75.0,-45.0,,,,,1191
"(7, 1)",,,,,,-51.0,,,,1191
"(7, 1)",,-61.0,,,-58.0,-61.0,-77.0,,-81.0,1191
"(7, 1)",-46.0,,-63.0,-83.0,-42.0,-54.0,-71.0,,-73.0,1191
"(7, 1)",-43.0,,,,-52.0,,-89.0,,,1191
"(7, 1)",-60.0,-69.0,,,-59.0,-60.0,,,-69.0,1191
"(7, 1)",-49.0,-61.0,-58.0,-83.0,-52.0,-52.0,-71.0,-63.0,-68.0,1191
"(7, 1)",-45.0,-61.0,-65.0,,,-59.0,-71.0,-70.0,-63.0,1191
"(7, 1)",-59.0,-66.0,,,-50.0,,,,-79.0,1191
"(7, 1)",,,,,-39.0,,,,-79.0,1191
"(7, 1)",,,-66.0,,,,-75.0,-79.0,,1191
"(7, 1)",,,,,-46.0,,,,,1191
"(7, 1)",-46.0,-49.0,-62.0,-72.0,-56.0,-55.0,-71.0,-70.0,-67.0,1191
"(7, 1)",-49.0,-63.0,,-72.0,-56.0,,,,-67.0,1191
"(7, 1)",,-64.0,,,,-70.0,,,,1191
"(7, 1)",-43.0,-64.0,-79.0,,-62.0,-67.0,,,-79.0,1191
"(7, 1)",,,-59.0,,-52.0,,-72.0,-69.0,-68.0,1191
"(7, 1)",,,,,-57.0,,-74.0,-80.0,-77.0,1191
"(7, 1)",-52.0,-67.0,-69.0,,-52.0,-63.0,,-76.0,-78.0,1191
"(7, 1)",-53.0,,,,-52.0,-65.0,,,,1191
"(7, 1)",,-61.0,-59.0,,-52.0,-57.0,-67.0,,-69.0,1191
"(7, 1)",,,,,-49.0,-71.0,,-75.0,,1191
"(7, 1)",,-69.0,-78.0,,,-59.0,,,-85.0,1191
"(7, 1)",-53.0,,-65.0,,-56.0,,-80.0,-76.0,-76.0,1191
"(7, 1)",,-67.0,-74.0,,,,-74.0,-79.0,-75.0,1191
"(7, 1)",-50.0,,-75.0,,-44.0,,-75.0,-79.0,-73.0,1191
"(7, 1)",-56.0,-56.0,,,-58.0,-68.0,,-72.0,-73.0,1191
"(7, 1)",-38.0,-59.0,-76.0,-85.0,-37.0,-63.0,-77.0,,-83.0,1191
"(7, 1)",-45.0,-59.0,-74.0,,-48.0,-56.0,-66.0,-64.0,-65.0,1191
"(7, 1)",-35.0,-51.0,-71.0,,-40.0,-68.0,-74.0,,-80.0,1191
"(7, 1)",-59.0,,-73.0,,-44.0,-62.0,,-74.0,-71.0,1191
"(7, 1)",-42.0,,,,-44.0,,,,,1191
"(7, 1)",-33.0,,,,,,-76.0,-80.0,,1191
"(7, 1)",-39.0,-47.0,-67.0,,-44.0,-52.0,,-71.0,-78.0,1191
"(7, 1)",-40.0,,-69.0,-78.0,-50.0,-61.0,-76.0,-73.0,-79.0,1191
"(7, 1)",,-64.0,,,-59.0,,-79.0,,,1191
"(7, 1)",-41.0,-56.0,-70.0,,-51.0,-52.0,-67.0,-69.0,-65.0,1191
"(7, 1)",,-65.0,,,-49.0,-61.0,,,,1191
"(7, 1)",-38.0,-64.0,-84.0,,-35.0,-68.0,-81.0,-80.0,-83.0,1191
"(7, 1)",-53.0,-63.0,-68.0,,-50.0,-64.0,-77.0,-77.0,-73.0,1191
"(7, 1)",-38.0,-52.0,-65.0,,-44.0,-53.0,-66.0,-72.0,-71.0,1191
