,x,ref_sensor,s57,s20,s54,s05,s34,s22,s06,s31,s36,s35
69,0.0,22,-59.0,-57.0,-66.0,-74.0,,-40.0,,-81.0,-83.0,-75.0
70,0.0,22,,,-52.0,,,,-69.0,-75.0,-69.0,-76.0
71,0.0,22,-60.0,-52.0,-59.0,-69.0,-81.0,-50.0,-65.0,-73.0,-79.0,-68.0
72,0.0,22,,,,,,-57.0,-62.0,,,
73,0.0,22,-58.0,-61.0,-69.0,-72.0,,-52.0,-68.0,-75.0,-82.0,-80.0
74,0.0,22,-58.0,-51.0,-64.0,-72.0,,-42.0,-59.0,-80.0,-75.0,
75,0.0,22,-67.0,-57.0,-57.0,-71.0,,,-63.0,-74.0,-73.0,
76,0.0,22,-57.0,-60.0,-68.0,,,-29.0,-53.0,-77.0,-80.0,-82.0
77,0.0,22,-58.0,-50.0,,-70.0,,-34.0,-60.0,,,
78,0.0,22,,-61.0,-55.0,-66.0,-75.0,-42.0,-58.0,,,-66.0
79,0.0,22,-40.0,-56.0,-66.0,-78.0,-75.0,-42.0,,-75.0,-71.0,-73.0
80,0.0,22,-40.0,,,-69.0,,-47.0,,,-73.0,-81.0
81,0.0,22,-59.0,-63.0,,-73.0,,,,-70.0,-75.0,-73.0
82,0.0,22,-53.0,-53.0,,-74.0,,-43.0,-55.0,-76.0,-74.0,-85.0
83,0.0,22,-68.0,,-61.0,-71.0,,-50.0,-58.0,-75.0,-77.0,-77.0
84,0.0,22,-59.0,-49.0,,,,-34.0,-60.0,-77.0,,-77.0
85,0.0,22,-50.0,-56.0,-53.0,-68.0,,-42.0,-59.0,-69.0,-81.0,
86,0.0,22,-50.0,-51.0,-63.0,,,-55.0,-63.0,-70.0,-77.0,-66.0
87,0.0,22,-64.0,,-68.0,-65.0,,,-59.0,-71.0,-80.0,
88,0.0,22,-54.0,-52.0,,-61.0,-77.0,-44.0,-56.0,,-71.0,-64.0
89,0.0,22,-56.0,-57.0,-54.0,-73.0,,-45.0,-64.0,-75.0,-70.0,-73.0
90,0.0,22,-41.0,-49.0,-62.0,-71.0,,-41.0,-57.0,-79.0,-72.0,-78.0
91,0.0,22,,,,-69.0,-71.0,,,-69.0,-80.0,-68.0
92,0.0,22,-41.0,,,,,-49.0,,-73.0,-72.0,
93,0.0,22,-50.0,-56.0,-58.0,-63.0,-75.0,-51.0,-57.0,-73.0,-75.0,-67.0
94,0.0,22,-57.0,-51.0,-58.0,-68.0,,,,-71.0,-76.0,-70.0
95,0.0,22,-47.0,,-55.0,,-74.0,-43.0,,-74.0,,
96,0.0,22,-53.0,-56.0,-61.0,-65.0,-76.0,-42.0,-56.0,-71.0,-76.0,-73.0
97,0.0,22,-55.0,,-66.0,-69.0,,-32.0,,-74.0,,
98,0.0,22,-56.0,-64.0,-54.0,-65.0,,-47.0,,-72.0,-76.0,-67.0
