,x,ref_sensor,s57,s20,s54,s05,s34,s22,s06,s31,s36,s35
0,0.0,22,-47.0,,-73.0,-77.0,,-64.0,-57.0,-68.0,-68.0,-68.0
1,0.0,22,-43.0,-60.0,-53.0,,,-52.0,-54.0,,-69.0,
2,0.0,22,-54.0,-71.0,-62.0,-66.0,,-53.0,,-73.0,-75.0,-73.0
3,0.0,22,-45.0,-61.0,-55.0,-69.0,,-54.0,-53.0,-75.0,,-67.0
4,0.0,22,-54.0,-74.0,-77.0,-77.0,,-45.0,-74.0,-84.0,-79.0,-80.0
5,0.0,22,-42.0,-63.0,-64.0,,,-50.0,-65.0,-72.0,-70.0,-66.0
6,0.0,22,-49.0,-60.0,-68.0,,,-57.0,-60.0,-77.0,,
7,0.0,22,-42.0,-63.0,-67.0,-73.0,,-54.0,-67.0,-72.0,-71.0,
8,0.0,22,,-61.0,,-71.0,,-57.0,,-74.0,-76.0,-74.0
9,0.0,22,-39.0,,-66.0,-73.0,,-50.0,-64.0,-74.0,,-79.0
10,0.0,22,,-68.0,,-82.0,,-47.0,,-77.0,-79.0,-79.0
11,0.0,22,-53.0,-55.0,-53.0,-58.0,,-64.0,-57.0,-66.0,-71.0,-60.0
12,0.0,22,,,-69.0,,-81.0,,-63.0,,,-78.0
13,0.0,22,-48.0,-72.0,,-78.0,,-39.0,-66.0,-80.0,-83.0,-87.0
14,0.0,22,,-68.0,-65.0,-56.0,,-57.0,-60.0,-65.0,,-61.0
15,0.0,22,,,,-64.0,-84.0,-53.0,,-75.0,-70.0,-74.0
16,0.0,22,-47.0,-61.0,-64.0,-64.0,-77.0,-54.0,,-68.0,-64.0,-65.0
17,0.0,22,,,-64.0,-67.0,-80.0,-63.0,,-74.0,,-68.0
18,0.0,22,-51.0,-62.0,-64.0,-66.0,,-57.0,-67.0,-76.0,-75.0,-81.0
19,0.0,22,-57.0,-55.0,,,,-51.0,-69.0,,-72.0,
20,0.0,22,-59.0,-67.0,-52.0,-59.0,,-54.0,-55.0,-62.0,-70.0,-61.0
21,0.0,22,-54.0,,-58.0,-60.0,,-48.0,-61.0,-71.0,-79.0,-64.0
22,0.0,22,-48.0,-61.0,,-67.0,,-49.0,-56.0,-76.0,,-73.0
23,0.0,22,,,,,,-50.0,,,,-76.0
24,0.0,22,-53.0,-68.0,,-66.0,,-53.0,-63.0,-71.0,-77.0,-77.0
25,0.0,22,,-58.0,-71.0,,,-50.0,-68.0,,,
26,0.0,22,-51.0,-57.0,-67.0,,,-55.0,,-77.0,-76.0,-66.0
27,0.0,22,,-65.0,,-70.0,,-62.0,,-74.0,-76.0,-75.0
28,0.0,22,-45.0,,,,,,,,-71.0,-75.0
29,0.0,22,-52.0,,,-71.0,,-51.0,,,,-71.0
30,0.0,22,-47.0,-60.0,,-70.0,-82.0,-52.0,,,-66.0,-67.0
31,0.0,22,,,-67.0,-67.0,,,,-76.0,-71.0,
32,0.0,22,-40.0,-65.0,,-65.0,,-48.0,-58.0,,-69.0,
33,0.0,22,-54.0,-73.0,-59.0,-68.0,,-49.0,-58.0,-75.0,-77.0,-70.0
34,0.0,22,-52.0,-67.0,-63.0,-73.0,,-53.0,-67.0,-83.0,-75.0,-71.0
