,x,ref_sensor,s57,s20,s54,s05,s34,s22,s06,s31,s36,s35
35,0.0,22,-56.0,-61.0,,,,-59.0,-66.0,,,
36,0.0,22,-46.0,-77.0,-82.0,,,-49.0,-63.0,-79.0,,
37,0.0,22,-46.0,-61.0,-80.0,-79.0,,-49.0,-69.0,-85.0,-81.0,-87.0
38,0.0,22,-42.0,-53.0,-65.0,-69.0,-81.0,-59.0,-64.0,-66.0,-74.0,
39,0.0,22,,-63.0,,,,-54.0,,-65.0,-66.0,
40,0.0,22,-50.0,-67.0,-71.0,,,-52.0,-70.0,-84.0,-81.0,
41,0.0,22,-57.0,,-77.0,,,-44.0,,-82.0,-79.0,
42,0.0,22,-43.0,-61.0,-60.0,-70.0,,-49.0,-66.0,-75.0,-72.0,-73.0
43,0.0,22,-45.0,-59.0,-62.0,-67.0,,-44.0,-60.0,-76.0,,-70.0
44,0.0,22,-41.0,-63.0,-54.0,-56.0,-83.0,-54.0,-53.0,-64.0,-68.0,-58.0
45,0.0,22,-52.0,-61.0,-63.0,-63.0,-81.0,-50.0,-67.0,-69.0,-65.0,-62.0
46,0.0,22,-48.0,-60.0,-65.0,-63.0,,,-52.0,-71.0,-66.0,
47,0.0,22,,,-70.0,-67.0,,,,-75.0,-78.0,
48,0.0,22,-41.0,,,,,,,-80.0,,
49,0.0,22,-40.0,-61.0,-63.0,-66.0,,-51.0,-55.0,-68.0,-70.0,-63.0
50,0.0,22,-43.0,,,-76.0,,-44.0,-70.0,,-73.0,
51,0.0,22,-48.0,-60.0,-73.0,-70.0,,-46.0,-62.0,-82.0,-80.0,
52,0.0,22,-45.0,-66.0,-75.0,-82.0,,-42.0,-76.0,-79.0,-74.0,
53,0.0,22,-54.0,-69.0,-67.0,-71.0,,-51.0,-68.0,-81.0,,
54,0.0,22,,-61.0,-75.0,-73.0,-82.0,-47.0,,-77.0,-78.0,
55,0.0,22,-62.0,-75.0,-68.0,,,-52.0,-59.0,-77.0,-78.0,
56,0.0,22,-53.0,-62.0,-73.0,-73.0,,-49.0,-68.0,-85.0,,
57,0.0,22,,-62.0,,,-80.0,,,,,
58,0.0,22,-58.0,-59.0,-58.0,-58.0,-80.0,-59.0,-61.0,-70.0,-70.0,-60.0
59,0.0,22,-53.0,-60.0,,,,-59.0,-59.0,,-76.0,
60,0.0,22,-47.0,,-65.0,-64.0,,-46.0,-56.0,,,-70.0
61,0.0,22,-46.0,-64.0,-61.0,-67.0,,-61.0,-57.0,-76.0,,-70.0
62,0.0,22,,-64.0,-60.0,-68.0,,-48.0,-60.0,,,-70.0
63,0.0,22,-43.0,-67.0,-63.0,-75.0,-84.0,-52.0,-67.0,-73.0,-75.0,-80.0
64,0.0,22,-52.0,-61.0,,-68.0,,-44.0,,-75.0,,
65,0.0,22,-55.0,-59.0,-56.0,,,-52.0,-64.0,,-70.0,
66,0.0,22,-54.0,-58.0,-70.0,-67.0,-76.0,-45.0,-66.0,-75.0,,
67,0.0,22,-54.0,-56.0,-58.0,,,-52.0,,-74.0,-63.0,-70.0
68,0.0,22,-46.0,-61.0,,-65.0,,-44.0,-59.0,,,-76.0
69,0.0,22,-48.0,,-64.0,-66.0,,-53.0,-66.0,-68.0,-63.0,-63.0
70,0.0,22,,-53.0,-63.0,,,,,-66.0,-70.0,-66.0
71,0.0,22,-45.0,-67.0,-56.0,-66.0,,-54.0,-53.0,,,-63.0
72,0.0,22,,,,-66.0,,-53.0,-59.0,,-72.0,
73,0.0,22,-52.0,,-70.0,-66.0,,-44.0,-67.0,-78.0,-80.0,-74.0
74,0.0,22,-52.0,-65.0,,,-76.0,-44.0,-67.0,,,-73.0
75,0.0,22,-50.0,-65.0,,,,-61.0,-68.0,-80.0,-78.0,-74.0
76,0.0,22,-48.0,-58.0,-63.0,-74.0,-86.0,-47.0,-59.0,-72.0,-78.0,-76.0
77,0.0,22,-56.0,-56.0,-54.0,-59.0,,-60.0,-58.0,-69.0,,-66.0
78,0.0,22,,-73.0,-68.0,-73.0,,-50.0,-65.0,-76.0,,
79,0.0,22,,-64.0,-69.0,-78.0,,,-72.0,-78.0,,
80,0.0,22,-58.0,-67.0,,-79.0,,-45.0,-70.0,,-83.0,-80.0
81,0.0,22,-63.0,-63.0,-54.0,-61.0,,-58.0,-70.0,-71.0,-76.0,
82,0.0,22,,,,,,-57.0,-73.0,,,-77.0
83,0.0,22,,,-65.0,-61.0,,-56.0,,-73.0,-72.0,-66.0
84,0.0,22,-56.0,-53.0,-68.0,-65.0,,-46.0,-63.0,,,-73.0
85,0.0,22,-51.0,-71.0,-69.0,-76.0,,-47.0,-68.0,-78.0,-82.0,-80.0
86,0.0,22,-57.0,-60.0,-70.0,-75.0,,-51.0,,-82.0,-76.0,-75.0
87,0.0,22,-49.0,-53.0,-62.0,-80.0,-79.0,-45.0,-68.0,-77.0,,-79.0
88,0.0,22,-45.0,-60.0,-61.0,-66.0,,-45.0,-58.0,-79.0,-76.0,-68.0
89,0.0,22,-45.0,-64.0,-64.0,-64.0,,-47.0,-59.0,-72.0,,-76.0
90,0.0,22,-40.0,-61.0,-62.0,-75.0,,-51.0,-59.0,-76.0,-71.0,-77.0
91,0.0,22,-57.0,-56.0,,,,-46.0,-66.0,,,
92,0.0,22,,-55.0,,-73.0,,-44.0,-69.0,-78.0,-75.0,
93,0.0,22,-42.0,-74.0,-76.0,-76.0,,-39.0,,-89.0,,-81.0
94,0.0,22,-46.0,-54.0,-58.0,-66.0,,-45.0,-62.0,-76.0,,
95,0.0,22,-39.0,,,,-76.0,-53.0,,,,-63.0
96,0.0,22,-47.0,-69.0,-73.0,-78.0,,-44.0,-69.0,-78.0,,-82.0
97,0.0,22,-53.0,-67.0,-59.0,-64.0,,-48.0,-57.0,-78.0,-73.0,-63.0
98,0.0,22,-49.0,-55.0,-67.0,-64.0,-84.0,-51.0,-64.0,-72.0,-74.0,-65.0
99,0.0,22,-54.0,-53.0,-67.0,-81.0,,-43.0,-68.0,-74.0,-76.0,-77.0
100,0.0,22,-50.0,-61.0,-65.0,-70.0,-81.0,-42.0,,-77.0,,-74.0
101,0.0,22,,-58.0,-55.0,-58.0,,,,-67.0,-74.0,-58.0
102,0.0,22,-46.0,-68.0,-67.0,,,-39.0,,,,
103,0.0,22,,-76.0,,-80.0,,-39.0,-68.0,,,-82.0
104,0.0,22,-57.0,-60.0,-67.0,,,-44.0,-64.0,-81.0,,-71.0
105,0.0,22,-53.0,-65.0,-68.0,-69.0,,-46.0,-70.0,-77.0,-79.0,-71.0
106,0.0,22,-56.0,-59.0,-62.0,-59.0,-82.0,-51.0,-58.0,-74.0,-72.0,-63.0
107,0.0,22,,-65.0,-55.0,,,-55.0,-57.0,,-68.0,-83.0
108,0.0,22,-46.0,-70.0,-57.0,-66.0,,-51.0,-59.0,-71.0,-69.0,-76.0
109,0.0,22,-49.0,-54.0,-73.0,-77.0,,-59.0,-64.0,-79.0,,-80.0
110,0.0,22,-58.0,-56.0,,,,-62.0,-60.0,,-73.0,
111,0.0,22,-43.0,-58.0,,,,-49.0,-58.0,,-72.0,
112,0.0,22,-49.0,-64.0,-64.0,,,-51.0,-58.0,-76.0,-71.0,-70.0
113,0.0,22,-46.0,-66.0,-55.0,-67.0,,-53.0,-58.0,-75.0,-67.0,-77.0
114,0.0,22,,-63.0,-63.0,-67.0,-83.0,-55.0,-66.0,-77.0,-77.0,-65.0
115,0.0,22,-47.0,-58.0,,,,-56.0,-55.0,,-74.0,
116,0.0,22,,,,,,-40.0,,,,
117,0.0,22,-49.0,-72.0,-65.0,-69.0,,-52.0,-68.0,-73.0,-77.0,-76.0
118,0.0,22,-51.0,-73.0,-72.0,-76.0,,-45.0,-65.0,-79.0,-76.0,
119,0.0,22,-52.0,-64.0,-54.0,-59.0,,-58.0,-52.0,-62.0,-71.0,-61.0
120,0.0,22,-52.0,,,-66.0,,-55.0,-63.0,,,
121,0.0,22,,,-64.0,-73.0,,-62.0,-50.0,,-67.0,-79.0
122,0.0,22,-56.0,-57.0,,-75.0,-71.0,-50.0,-66.0,-77.0,-71.0,
123,0.0,22,,-58.0,,-67.0,,-48.0,,,,-72.0
124,0.0,22,-46.0,-61.0,-65.0,-67.0,-81.0,-54.0,-64.0,-70.0,-65.0,-65.0
125,0.0,22,-51.0,-66.0,-80.0,-81.0,,-42.0,,-82.0,,
126,0.0,22,-48.0,-67.0,-53.0,-60.0,,,-59.0,-64.0,-74.0,-62.0
127,0.0,22,-45.0,-56.0,-66.0,-74.0,-81.0,-52.0,-57.0,-68.0,-70.0,-67.0
128,0.0,22,-43.0,-65.0,-66.0,-68.0,-78.0,-50.0,-57.0,-76.0,-74.0,-73.0
129,0.0,22,,-66.0,,,,-41.0,-66.0,,,
130,0.0,22,-54.0,,,-73.0,,-52.0,-62.0,-76.0,-76.0,-72.0
131,0.0,22,,-58.0,-65.0,,,,-61.0,-70.0,,
132,0.0,22,-59.0,-66.0,,,,-59.0,-56.0,,,
133,0.0,22,-48.0,-63.0,-61.0,-63.0,,-62.0,-48.0,-66.0,,-60.0
134,0.0,22,-58.0,-71.0,-74.0,-76.0,,-50.0,-67.0,-87.0,-81.0,-83.0
135,0.0,22,,-55.0,-70.0,-76.0,,,-65.0,-79.0,-73.0,
136,0.0,22,-53.0,-59.0,-69.0,-72.0,,-56.0,-69.0,,,
137,0.0,22,-53.0,-64.0,-61.0,-61.0,,-50.0,-73.0,-71.0,-64.0,-60.0
138,0.0,22,-45.0,,,,,-51.0,,-67.0,-68.0,-68.0
139,0.0,22,-45.0,-58.0,,,,-47.0,-59.0,-70.0,-75.0,
140,0.0,22,,,-75.0,,,-45.0,-67.0,-79.0,,
141,0.0,22,-48.0,-76.0,-60.0,-69.0,,-56.0,-51.0,-68.0,-70.0,-77.0
142,0.0,22,-43.0,-60.0,-58.0,-74.0,,-53.0,-54.0,-71.0,,-70.0
143,0.0,22,,,,-76.0,,,,-83.0,,
144,0.0,22,-43.0,-59.0,-61.0,-72.0,,-57.0,-59.0,-77.0,,-76.0
145,0.0,22,-51.0,-60.0,-56.0,-72.0,,,-54.0,,-67.0,-63.0
146,0.0,22,-48.0,-66.0,,,,-48.0,-72.0,,,-85.0
147,0.0,22,-45.0,-68.0,-52.0,,,-60.0,-58.0,,-79.0,-63.0
148,0.0,22,-55.0,-54.0,-65.0,-65.0,-84.0,-52.0,-64.0,-74.0,-77.0,-83.0
149,0.0,22,-46.0,-59.0,,,,-53.0,,,-66.0,-68.0
150,0.0,22,-50.0,-74.0,-76.0,-77.0,,-39.0,-72.0,-84.0,-81.0,
151,0.0,22,-65.0,-67.0,,-69.0,,-57.0,-65.0,,,-72.0
152,0.0,22,-54.0,-58.0,,,,-54.0,-68.0,,-67.0,
153,0.0,22,-50.0,,-68.0,-74.0,-83.0,-55.0,-61.0,-71.0,,-74.0
154,0.0,22,-47.0,-70.0,-81.0,,,-49.0,-67.0,-82.0,,-78.0
155,0.0,22,,-71.0,-70.0,-76.0,,-54.0,-66.0,-78.0,,-81.0
156,0.0,22,-54.0,-69.0,,-81.0,,-49.0,-70.0,-80.0,,-81.0
157,0.0,22,-48.0,,-63.0,,,-45.0,-58.0,-75.0,-73.0,
158,0.0,22,-41.0,-66.0,-62.0,-66.0,,-52.0,-63.0,-70.0,-74.0,
159,0.0,22,-43.0,-58.0,,,,-56.0,-59.0,,,
160,0.0,22,-47.0,,,-65.0,-78.0,-52.0,-64.0,-73.0,-74.0,-68.0
161,0.0,22,-45.0,-64.0,-61.0,-62.0,,-51.0,-60.0,,-71.0,
162,0.0,22,-49.0,-64.0,-68.0,-71.0,,-52.0,-63.0,-68.0,-68.0,-71.0
163,0.0,22,-47.0,-55.0,-58.0,,,,,,,-65.0
164,0.0,22,-57.0,-67.0,-67.0,-70.0,,-48.0,-62.0,-72.0,-74.0,-74.0
165,0.0,22,-58.0,-67.0,-58.0,-74.0,,-53.0,-68.0,-70.0,-70.0,-75.0
166,0.0,22,-54.0,-68.0,-59.0,-68.0,,-51.0,-52.0,-73.0,,-71.0
167,0.0,22,-64.0,-60.0,-66.0,-59.0,,-54.0,-59.0,-74.0,-73.0,-64.0
168,0.0,22,-57.0,-58.0,-58.0,,,-54.0,-60.0,-70.0,-72.0,-60.0
169,0.0,22,,,-68.0,-70.0,-83.0,-44.0,-65.0,-75.0,,-83.0
170,0.0,22,-59.0,,-64.0,-73.0,,-56.0,-64.0,,,-72.0
171,0.0,22,-42.0,,-73.0,-63.0,,-46.0,,-79.0,,-72.0
172,0.0,22,,-62.0,,-68.0,,-47.0,-58.0,-75.0,-75.0,-76.0
173,0.0,22,-42.0,-57.0,-58.0,-64.0,-75.0,-57.0,-55.0,-71.0,-72.0,-62.0
174,0.0,22,-51.0,,,,,-45.0,-71.0,,,-79.0
175,0.0,22,-52.0,-67.0,-68.0,-71.0,,-60.0,-65.0,-71.0,-69.0,-75.0
176,0.0,22,-54.0,-70.0,-76.0,-79.0,,-44.0,-74.0,-81.0,,-78.0
177,0.0,22,,-66.0,-59.0,-78.0,,-55.0,-58.0,-72.0,-63.0,-71.0
178,0.0,22,-40.0,-70.0,-63.0,,,-51.0,-68.0,-67.0,,-76.0
179,0.0,22,-51.0,-54.0,-60.0,-67.0,,-44.0,,,-74.0,-75.0
180,0.0,22,,,,,,-54.0,,,,
181,0.0,22,-43.0,-59.0,-57.0,-70.0,-79.0,-52.0,-53.0,-69.0,-64.0,-67.0
182,0.0,22,-51.0,-66.0,-59.0,-61.0,,-56.0,-64.0,,-72.0,-64.0
183,0.0,22,,-67.0,-70.0,,,-56.0,,-81.0,,
184,0.0,22,-49.0,,-58.0,-68.0,,-50.0,,,,
185,0.0,22,,,,-69.0,-78.0,,,,-66.0,-69.0
186,0.0,22,-57.0,-54.0,-56.0,-61.0,,-50.0,-60.0,-69.0,-73.0,
187,0.0,22,-61.0,-63.0,-66.0,-73.0,,-51.0,-67.0,,,-84.0
188,0.0,22,-53.0,-71.0,-72.0,-72.0,,-56.0,,-77.0,-76.0,-75.0
189,0.0,22,,-57.0,-62.0,,,-45.0,-72.0,-77.0,,
190,0.0,22,-45.0,-71.0,-69.0,,,-47.0,-69.0,-78.0,,
191,0.0,22,-57.0,-62.0,-52.0,-60.0,,-54.0,,-68.0,-73.0,-69.0
192,0.0,22,,-63.0,-70.0,-69.0,-74.0,-44.0,-62.0,,,-75.0
193,0.0,22,-47.0,-57.0,-60.0,-77.0,,-64.0,-54.0,,-61.0,-78.0
194,0.0,22,-44.0,-53.0,,,,-49.0,-61.0,,,-68.0
195,0.0,22,-48.0,-63.0,-65.0,-66.0,-83.0,-55.0,-63.0,,-78.0,-67.0
196,0.0,22,-55.0,-70.0,,-70.0,,-44.0,,,,
197,0.0,22,-56.0,-72.0,-77.0,,,-43.0,-72.0,-83.0,-79.0,
198,0.0,22,-41.0,-59.0,,,,-47.0,-68.0,,,-81.0
199,0.0,22,-49.0,,-60.0,-68.0,,-55.0,-58.0,-70.0,-70.0,-77.0
200,0.0,22,-50.0,-57.0,-64.0,,,-43.0,-66.0,-75.0,-73.0,
201,0.0,22,,-69.0,-67.0,-78.0,-84.0,-50.0,-66.0,,,
202,0.0,22,-51.0,-56.0,-64.0,-73.0,,-52.0,-63.0,-71.0,-70.0,-68.0
203,0.0,22,-52.0,-74.0,-75.0,-77.0,,-45.0,-73.0,-84.0,-79.0,-82.0
204,0.0,22,-50.0,-69.0,-62.0,-68.0,,-51.0,-65.0,-76.0,-76.0,-73.0
205,0.0,22,-60.0,-66.0,-70.0,-67.0,-77.0,-43.0,-68.0,-73.0,-78.0,-73.0
206,0.0,22,-55.0,-54.0,-58.0,-56.0,,-58.0,-61.0,-75.0,,-63.0
207,0.0,22,,,,-63.0,,-46.0,-60.0,-73.0,-73.0,-65.0
208,0.0,22,,-56.0,-59.0,-64.0,,-56.0,-61.0,-70.0,-73.0,-76.0
209,0.0,22,-42.0,-68.0,-73.0,-79.0,,-46.0,-69.0,-80.0,,-74.0
210,0.0,22,-50.0,-60.0,-63.0,-68.0,,-54.0,-65.0,-70.0,-68.0,-69.0
211,0.0,22,-50.0,,,,,-47.0,,,,-76.0
212,0.0,22,-45.0,-59.0,-64.0,-67.0,,-46.0,,-72.0,-70.0,-77.0
213,0.0,22,-48.0,-61.0,-69.0,-69.0,,-47.0,-60.0,-75.0,-76.0,-75.0
214,0.0,22,-53.0,-66.0,-65.0,-70.0,,-58.0,-66.0,-78.0,-79.0,-69.0
215,0.0,22,,,-59.0,,,-52.0,-62.0,,-70.0,-69.0
216,0.0,22,-56.0,-71.0,-77.0,,,-48.0,-69.0,,,-81.0
217,0.0,22,-54.0,-64.0,-68.0,-70.0,-74.0,-43.0,-69.0,-79.0,-76.0,-74.0
218,0.0,22,,,,,,-55.0,,,,
219,0.0,22,-42.0,-70.0,,,,-38.0,,,,
220,0.0,22,-44.0,-58.0,-58.0,-69.0,,-47.0,-58.0,,-68.0,-64.0
221,0.0,22,-51.0,-67.0,-58.0,-61.0,,-58.0,-51.0,-66.0,-67.0,-58.0
222,0.0,22,-57.0,,-71.0,-76.0,,-52.0,-66.0,-84.0,,-85.0
223,0.0,22,-51.0,-74.0,-65.0,-72.0,-81.0,-52.0,,-78.0,-74.0,-71.0
224,0.0,22,-42.0,-56.0,-69.0,-72.0,,-50.0,-56.0,-67.0,-75.0,-65.0
225,0.0,22,-57.0,,-54.0,-67.0,,,-55.0,,-71.0,-64.0
226,0.0,22,-39.0,-53.0,-66.0,-73.0,,-51.0,-73.0,-76.0,-77.0,-83.0
227,0.0,22,-48.0,-72.0,-71.0,-78.0,,-52.0,,-81.0,-79.0,-88.0
228,0.0,22,-58.0,-51.0,-67.0,,,-47.0,-72.0,-73.0,,
229,0.0,22,-40.0,-55.0,-59.0,-73.0,,-55.0,-67.0,,-73.0,-69.0
230,0.0,22,-42.0,-62.0,,-71.0,-79.0,-46.0,-67.0,-80.0,-76.0,
231,0.0,22,,,-69.0,-69.0,,-48.0,-67.0,-74.0,,
232,0.0,22,-42.0,-60.0,-63.0,-69.0,,-49.0,-61.0,-77.0,,-76.0
233,0.0,22,,-69.0,-61.0,-65.0,,-55.0,-59.0,-76.0,-76.0,-69.0
234,0.0,22,-54.0,-59.0,-60.0,-70.0,-84.0,-45.0,-62.0,-79.0,-79.0,-74.0
235,0.0,22,-54.0,-56.0,,-76.0,,-52.0,-68.0,,-77.0,
236,0.0,22,-49.0,-56.0,-69.0,-66.0,,,-67.0,-73.0,,
237,0.0,22,-53.0,-76.0,-78.0,-77.0,,-45.0,-74.0,-84.0,,-79.0
238,0.0,22,-43.0,-64.0,-69.0,-74.0,,-42.0,-70.0,,,
239,0.0,22,,,,-59.0,,,,,,-68.0
240,0.0,22,,-65.0,-70.0,-76.0,,-48.0,,-84.0,-80.0,-83.0
241,0.0,22,-54.0,-70.0,-73.0,,,-52.0,,-84.0,-78.0,
242,0.0,22,,,,,,-46.0,,,,
243,0.0,22,-47.0,-68.0,-74.0,,-72.0,-42.0,-67.0,-74.0,-72.0,
244,0.0,22,-51.0,-57.0,,,,-46.0,-65.0,-77.0,,
245,0.0,22,-49.0,,,-60.0,,,-49.0,,,
246,0.0,22,-40.0,-58.0,-61.0,-70.0,-84.0,-47.0,-67.0,-80.0,-75.0,-85.0
247,0.0,22,-47.0,-66.0,-68.0,,,-46.0,-60.0,,,
248,0.0,22,-54.0,-69.0,,,,-57.0,,,,
249,0.0,22,,-65.0,-61.0,-62.0,,-47.0,-62.0,-72.0,-77.0,-65.0
250,0.0,22,,-69.0,-77.0,,,-45.0,,-81.0,,-78.0
251,0.0,22,-53.0,,,-71.0,,-44.0,-70.0,,-75.0,-72.0
252,0.0,22,-41.0,-56.0,,,,-46.0,-66.0,,,-81.0
253,0.0,22,-62.0,,-68.0,,,-51.0,,-78.0,-68.0,-74.0
254,0.0,22,-40.0,-58.0,-66.0,-70.0,-81.0,-53.0,-63.0,-71.0,-71.0,-67.0
255,0.0,22,-44.0,,-65.0,-71.0,,-47.0,,,-77.0,-71.0
256,0.0,22,-50.0,-68.0,-59.0,,-84.0,-64.0,,-74.0,-72.0,-78.0
257,0.0,22,-51.0,,,,,-47.0,-65.0,,-79.0,
258,0.0,22,,-63.0,,-69.0,,-44.0,-62.0,,,-76.0
259,0.0,22,-52.0,-60.0,-61.0,-70.0,,-45.0,-56.0,-80.0,-78.0,
260,0.0,22,-50.0,-60.0,-54.0,-65.0,,-57.0,-53.0,-74.0,-66.0,-70.0
261,0.0,22,-51.0,-66.0,-57.0,-71.0,,-54.0,-56.0,-72.0,-70.0,-73.0
262,0.0,22,-57.0,-52.0,-63.0,-69.0,,-46.0,-59.0,-76.0,-73.0,-73.0
263,0.0,22,-52.0,,-69.0,-69.0,,-53.0,-66.0,-82.0,,-78.0
264,0.0,22,-66.0,-68.0,-66.0,,,-51.0,-66.0,-81.0,-70.0,-76.0
265,0.0,22,-50.0,-70.0,-66.0,-71.0,,-53.0,,-74.0,-77.0,-77.0
266,0.0,22,-48.0,-65.0,-82.0,-72.0,,,-65.0,,-76.0,
267,0.0,22,-52.0,-61.0,-74.0,-71.0,,,-69.0,-82.0,,-84.0
268,0.0,22,,,-63.0,,,,-60.0,-79.0,-82.0,
269,0.0,22,-69.0,-72.0,-55.0,-73.0,,-60.0,-61.0,-68.0,,-68.0
270,0.0,22,-52.0,-56.0,-65.0,-69.0,,-42.0,-62.0,-80.0,,
271,0.0,22,-60.0,-56.0,-57.0,-61.0,,-48.0,-61.0,-72.0,-72.0,-64.0
272,0.0,22,-60.0,-69.0,,-68.0,,-51.0,-62.0,-78.0,-78.0,-76.0
273,0.0,22,,-70.0,,-69.0,-88.0,-60.0,-65.0,-76.0,-79.0,-75.0
274,0.0,22,-54.0,-71.0,-85.0,,,-52.0,-68.0,-80.0,,
275,0.0,22,,,-69.0,-66.0,,-46.0,-64.0,-73.0,-79.0,-69.0
276,0.0,22,-44.0,-57.0,-71.0,-70.0,,-49.0,-66.0,-75.0,-75.0,-70.0
277,0.0,22,-50.0,-59.0,-58.0,-67.0,,-44.0,-69.0,-76.0,-69.0,-75.0
278,0.0,22,-55.0,-66.0,-76.0,-77.0,,-54.0,-69.0,-85.0,-84.0,-83.0
279,0.0,22,,,,-70.0,,-43.0,,,,
280,0.0,22,-48.0,-57.0,-71.0,-76.0,,-51.0,-60.0,,-75.0,
281,0.0,22,-63.0,-63.0,-62.0,-72.0,,-55.0,-63.0,-72.0,-69.0,-70.0
282,0.0,22,-57.0,,-68.0,-80.0,,-46.0,-63.0,-78.0,,-78.0
283,0.0,22,-48.0,,-71.0,-68.0,-81.0,-47.0,-67.0,-77.0,,-80.0
284,0.0,22,-52.0,-54.0,-66.0,-77.0,-79.0,-46.0,-62.0,,,-75.0
285,0.0,22,-40.0,-60.0,-69.0,,,-57.0,,-72.0,-72.0,-65.0
286,0.0,22,-47.0,-68.0,-73.0,,,-48.0,-68.0,-83.0,-81.0,-88.0
287,0.0,22,-47.0,-56.0,-60.0,-74.0,-82.0,-64.0,-63.0,-72.0,-71.0,-67.0
288,0.0,22,-39.0,,-66.0,-73.0,,-49.0,-68.0,-72.0,-76.0,-82.0
289,0.0,22,,-68.0,-67.0,-81.0,,,-65.0,-82.0,-77.0,-82.0
290,0.0,22,-43.0,,-57.0,-63.0,-84.0,-51.0,-56.0,,,-63.0
291,0.0,22,-54.0,-63.0,-58.0,-76.0,,-52.0,-58.0,-72.0,-71.0,-73.0
292,0.0,22,-47.0,-60.0,,,,-45.0,,-75.0,,
293,0.0,22,-57.0,-57.0,-56.0,-63.0,,-48.0,-56.0,-75.0,-74.0,-62.0
294,0.0,22,,-61.0,,,-77.0,-49.0,,,,-71.0
295,0.0,22,-52.0,-67.0,,-64.0,,-44.0,-62.0,,-81.0,
296,0.0,22,-41.0,-58.0,,,,-47.0,-60.0,,,
297,0.0,22,-56.0,,,,,,,-82.0,,
298,0.0,22,-54.0,-67.0,-61.0,-70.0,-82.0,-53.0,-67.0,-78.0,-73.0,-73.0
299,0.0,22,-44.0,-59.0,,,-83.0,,-60.0,,,-69.0
300,0.0,22,-48.0,-54.0,-66.0,-69.0,,-48.0,-63.0,,-79.0,
301,0.0,22,-60.0,-75.0,-71.0,-80.0,,-55.0,-62.0,-73.0,-75.0,-72.0
302,0.0,22,-58.0,-73.0,-67.0,-74.0,-83.0,-53.0,-64.0,,-75.0,-74.0
303,0.0,22,-52.0,-59.0,,,,-53.0,,,,
304,0.0,22,-56.0,-66.0,-70.0,-78.0,,-48.0,-70.0,-80.0,-84.0,-82.0
